x,y,vx,vy,rho,p,neighbor_count
8.050425612e-02,9.243537745e-02,2.867221204e+02,2.088168926e+02,1.244510133e+03,2.445101335e+07,33
1.990531831e+00,4.413159725e-02,-9.953305085e+01,1.910929290e+01,8.892529994e+02,-1.107470006e+07,26
5.166576119e-03,3.226985643e-02,2.884415589e+01,6.651400456e+01,6.850815642e+02,-3.149184358e+07,25
2.568382918e-02,2.948404807e-02,-2.575372701e+01,-8.990142326e+00,1.053143166e+03,5.314316607e+06,31
4.003197609e-02,3.000968401e-02,2.529845196e+01,1.307544400e+00,1.165219508e+03,1.652195084e+07,35
5.037287685e-02,2.994900300e-02,2.028428146e+01,-8.400835003e-01,1.087324166e+03,8.732416554e+06,37
6.011765613e-02,2.997824025e-02,7.158714349e+00,-1.044453748e+00,1.023560810e+03,2.356080954e+06,36
7.001378507e-02,2.999591405e-02,1.599298289e+00,-4.355163972e-01,1.008028569e+03,8.028569032e+05,37
8.000167047e-02,2.999614812e-02,3.700158092e-01,-3.198162741e-01,1.004749813e+03,4.749813176e+05,36
9.000192605e-02,2.999729932e-02,1.648077216e-01,-2.294042656e-01,1.003643600e+03,3.643599948e+05,36
1.000013699e-01,2.999900747e-02,9.552282700e-02,-1.257287435e-01,1.003309598e+03,3.309597558e+05,36
1.100007215e-01,3.000014862e-02,5.089760705e-02,-5.339975503e-02,1.003137810e+03,3.137809768e+05,36
1.200002975e-01,3.000068954e-02,2.253921130e-02,-1.667702085e-02,1.003042010e+03,3.042009812e+05,36
1.300001017e-01,3.000088166e-02,8.426930523e-03,-2.469301180e-03,1.002994799e+03,2.994799355e+05,36
1.400000322e-01,3.000093719e-02,2.838638571e-03,2.098729446e-03,1.002975307e+03,2.975307358e+05,36
1.500000104e-01,3.000095213e-02,8.807228582e-04,3.464017151e-03,1.002968830e+03,2.968829565e+05,36
1.600000039e-01,3.000095607e-02,2.517439610e-04,3.852960710e-03,1.002967026e+03,2.967025956e+05,36
1.700000022e-01,3.000095703e-02,7.308776243e-05,3.953192619e-03,1.002966564e+03,2.966564060e+05,36
1.800000018e-01,3.000095724e-02,2.844083746e-05,3.976299982e-03,1.002966449e+03,2.966449439e+05,36
1.900000017e-01,3.000095728e-02,1.815619165e-05,3.981300214e-03,1.002966423e+03,2.966422755e+05,36
2.000000017e-01,3.000095729e-02,1.588308219e-05,3.982352792e-03,1.002966417e+03,2.966417084e+05,36
2.100000017e-01,3.000095729e-02,1.540369892e-05,3.982565367e-03,1.002966416e+03,2.966415954e+05,36
2.200000017e-01,3.000095729e-02,1.530871379e-05,3.982605907e-03,1.002966416e+03,2.966415735e+05,36
2.300000017e-01,3.000095729e-02,1.529084252e-05,3.982613307e-03,1.002966416e+03,2.966415694e+05,36
2.400000017e-01,3.000095729e-02,1.528759179e-05,3.982614622e-03,1.002966416e+03,2.966415687e+05,36
2.500000017e-01,3.000095729e-02,1.528701907e-05,3.982614848e-03,1.002966416e+03,2.966415686e+05,36
2.600000017e-01,3.000095729e-02,1.528692205e-05,3.982614886e-03,1.002966416e+03,2.966415686e+05,36
2.700000017e-01,3.000095729e-02,1.528690605e-05,3.982614892e-03,1.002966416e+03,2.966415686e+05,36
2.800000017e-01,3.000095729e-02,1.528690333e-05,3.982614893e-03,1.002966416e+03,2.966415686e+05,36
2.900000017e-01,3.000095729e-02,1.528690287e-05,3.982614893e-03,1.002966416e+03,2.966415686e+05,36
3.000000017e-01,3.000095729e-02,1.528690268e-05,3.982614893e-03,1.002966416e+03,2.966415686e+05,36
3.100000017e-01,3.000095729e-02,1.528690268e-05,3.982614893e-03,1.002966416e+03,2.966415686e+05,36
3.200000017e-01,3.000095729e-02,1.528690290e-05,3.982614893e-03,1.002966416e+03,2.966415686e+05,36
3.300000017e-01,3.000095729e-02,1.528690304e-05,3.982614893e-03,1.002966416e+03,2.966415686e+05,36
3.400000017e-01,3.000095729e-02,1.528690294e-05,3.982614893e-03,1.002966416e+03,2.966415686e+05,36
3.500000017e-01,3.000095729e-02,1.528690278e-05,3.982614893e-03,1.002966416e+03,2.966415686e+05,36
