x,y,vx,vy,rho,p,neighbor_count
8.960745524e-03,8.939083194e-03,-7.752829538e+01,-7.760104367e+01,1.242716401e+03,6.518058312e+06,11
4.749939769e-02,2.765205569e-02,-4.625366759e+01,-3.344440729e+01,1.341037850e+03,9.253969347e+06,18
7.445885043e-02,1.288831564e-02,-2.691968321e+01,-7.755433043e+01,1.155307929e+03,6.246823475e+06,14
9.746247413e-02,2.926094357e-02,-2.795697780e+01,-1.126516608e+01,1.187098424e+03,6.958990447e+06,18
1.213925724e-01,1.505572853e-02,-2.661761726e+01,-7.067111902e+01,1.229849882e+03,7.927250186e+06,16
1.439241086e-01,2.482236377e-02,-1.861709732e+01,-2.383427039e+01,1.253771185e+03,8.693054227e+06,19
1.663123058e-01,1.951825093e-02,-1.382324905e+01,-5.341142005e+01,1.345883409e+03,1.035498188e+07,17
1.887625182e-01,2.327772514e-02,-4.851408619e+00,-3.350091320e+01,1.385540692e+03,1.113728366e+07,18
2.105672933e-01,2.137030182e-02,1.203273238e+00,-4.583413223e+01,1.400124735e+03,1.131053766e+07,18
2.329390867e-01,2.323137378e-02,9.010754926e+00,-3.682947866e+01,1.446668469e+03,1.187383298e+07,17
2.554045324e-01,2.320786288e-02,1.570503243e+01,-3.858164229e+01,1.405543321e+03,1.112977016e+07,19
2.788554966e-01,2.295650360e-02,2.580156138e+01,-4.247115678e+01,1.440663324e+03,1.135200719e+07,18
3.035318741e-01,2.682684115e-02,3.346797645e+01,-2.776214685e+01,1.399082602e+03,1.041513619e+07,17
3.299612798e-01,2.262011807e-02,4.612525941e+01,-5.171898940e+01,1.318661320e+03,8.824193953e+06,16
3.594954024e-01,3.504202710e-02,6.488149426e+01,-1.854809902e+01,1.357489330e+03,8.800810854e+06,18
3.944485661e-01,5.127446526e-02,7.762267464e+01,1.640612124e+01,1.214363198e+03,6.331169055e+06,12
2.766905526e-02,4.744914818e-02,-3.337425418e+01,-4.638016306e+01,1.340571232e+03,9.246887910e+06,18
7.610333362e-02,7.609016044e-02,3.177579476e+00,3.140041965e+00,1.122258173e+03,3.934335123e+06,18
8.742966933e-02,7.722436587e-02,6.475871740e+00,6.764523846e+00,9.555508079e+02,6.655568969e+04,16
1.122205740e-01,7.608969039e-02,-2.078359641e+00,5.345423238e+00,1.042365836e+03,2.016639020e+06,18
1.305657802e-01,7.790206074e-02,4.201139141e+00,8.018377894e+00,9.966061913e+02,1.017892725e+06,18
1.506350962e-01,7.971082988e-02,-1.794009164e-01,1.040237254e+01,1.042910613e+03,1.868069904e+06,18
1.709708220e-01,7.999622374e-02,3.176179740e+00,1.016171836e+01,1.008155979e+03,1.164915222e+06,18
1.905383699e-01,8.089487967e-02,8.807765287e-01,1.119216913e+01,1.031775554e+03,1.526641831e+06,18
2.110312119e-01,8.109218997e-02,2.400100396e+00,1.131589018e+01,1.009730231e+03,1.131853527e+06,18
2.307441360e-01,8.159636586e-02,1.933161842e+00,1.212424469e+01,1.024230032e+03,1.310151320e+06,18
2.514568132e-01,8.167376134e-02,2.560650460e+00,1.222839459e+01,1.009015341e+03,1.056408250e+06,18
2.714279024e-01,8.196409053e-02,3.646285350e+00,1.345678732e+01,1.021278442e+03,1.205819516e+06,18
2.928259226e-01,8.153467049e-02,3.968293181e+00,1.328499845e+01,1.004698338e+03,9.713637567e+05,17
3.130923816e-01,8.109744319e-02,7.288241706e+00,1.526985826e+01,1.019443206e+03,1.208171767e+06,17
3.344455235e-01,7.857347505e-02,8.386236833e+00,1.166672784e+01,1.005940452e+03,7.375721916e+05,15
3.515783759e-01,8.362395780e-02,8.556113952e+00,2.193666476e+01,9.879097118e+02,1.939524643e+05,12
1.284704214e-02,7.436063982e-02,-7.773649753e+01,-2.723890342e+01,1.152757660e+03,6.200645354e+06,14
7.723612365e-02,8.741132956e-02,6.801420510e+00,6.442837181e+00,9.561823138e+02,7.298068167e+04,16
9.531284894e-02,9.527537242e-02,1.503878067e+01,1.496317452e+01,1.032060468e+03,8.611735495e+05,20
1.129046474e-01,9.141546515e-02,1.087249040e+00,1.176719843e+01,1.003967593e+03,8.482850772e+05,18
1.319349805e-01,9.210354408e-02,5.660132371e+00,1.026397165e+01,9.951257814e+02,1.725503772e+05,17
1.513075289e-01,9.276414024e-02,-1.806306152e-01,1.360140432e+01,1.000948746e+03,6.450682180e+05,19
1.715638557e-01,9.248692789e-02,3.600736563e+00,1.127907261e+01,9.901084384e+02,2.805416526e+05,18
1.910022657e-01,9.307358480e-02,6.746348159e-01,1.315000485e+01,1.002462246e+03,5.425697078e+05,19
2.116868208e-01,9.284529689e-02,3.169640477e+00,1.176092143e+01,9.940454093e+02,3.862946248e+05,18
2.311720316e-01,9.299134072e-02,1.854043384e+00,1.216849847e+01,9.996576853e+02,4.263332976e+05,18
2.524750616e-01,9.310299251e-02,4.136024234e+00,1.198158037e+01,1.000459950e+03,4.530751539e+05,18
2.717949858e-01,9.239745785e-02,3.394915248e+00,1.022183369e+01,9.930699744e+02,2.238688237e+05,17
