x,y,vx,vy,rho,pressure,neighbor_count
4.500000000e-06,4.500000000e-06,0.000000000e+00,0.000000000e+00,9.982020915e+02,-1.539173577e+05,10
3.183969371e-02,4.500000000e-06,3.746977244e-01,0.000000000e+00,1.002983938e+03,1.113056116e+06,13
6.685045631e-02,4.500000000e-06,6.294598332e-01,0.000000000e+00,1.003759172e+03,1.169943996e+06,12
2.263765555e-01,1.983499796e-01,6.315104801e+00,5.240675722e+00,1.039322166e+03,9.524369698e+05,8
1.021888502e-01,4.500000000e-06,9.834707549e-01,0.000000000e+00,1.004089636e+03,1.189375202e+06,13
2.156716251e-01,1.299645468e-01,8.465107522e+00,1.507615578e+01,9.892664547e+02,-3.064825585e+05,7
1.376295164e-01,4.500000000e-06,9.145356622e-01,0.000000000e+00,1.004055875e+03,1.172878994e+06,13
1.742656234e-01,4.500000000e-06,8.507165832e-01,0.000000000e+00,1.003775020e+03,1.128714630e+06,12
2.119616171e-01,4.500000000e-06,8.499243286e-01,0.000000000e+00,1.003569639e+03,1.098375391e+06,12
2.507354280e-01,4.500000000e-06,7.630434543e-01,0.000000000e+00,1.003475406e+03,1.080744985e+06,12
2.906938194e-01,4.500000000e-06,6.302645717e-01,0.000000000e+00,1.003442821e+03,1.070684230e+06,12
3.320513079e-01,4.500000000e-06,5.152947621e-01,0.000000000e+00,1.003475993e+03,1.068457056e+06,11
3.882604963e-01,4.500000000e-06,7.041034297e-02,0.000000000e+00,1.003454245e+03,1.065040731e+06,11
4.314268406e-01,4.500000000e-06,-3.423028391e-02,0.000000000e+00,1.003440302e+03,1.063899651e+06,11
5.442309968e-01,4.500000000e-06,4.346300886e-01,0.000000000e+00,1.003688169e+03,1.085393356e+06,11
9.999955000e-01,1.153060138e-01,0.000000000e+00,4.231514318e-01,1.003655211e+03,1.082569940e+06,11
4.500000000e-06,2.221030254e-02,0.000000000e+00,9.142370028e-02,1.004300799e+03,1.518786092e+06,13
2.007963227e-01,1.551670099e-01,2.492243285e+01,2.388655554e+01,9.762076961e+02,-3.064825585e+05,4
2.753968254e-01,1.508681498e-01,1.740040163e+01,1.938457052e+00,1.012855440e+03,2.195071683e+05,12
2.594385921e-01,6.128802808e-02,9.191353963e+00,-2.376474285e+00,9.993730540e+02,7.204931553e+05,13
2.054744923e-01,7.683442780e-02,2.805001568e+00,1.677013488e+01,1.008787946e+03,5.425337321e+05,10
2.342673847e-01,1.091565465e-01,3.020555152e+00,-2.516317191e+00,1.019062678e+03,5.376242829e+05,9
2.509872498e-01,9.703937297e-02,7.856768255e+00,1.862984392e+00,9.845354073e+02,-3.064825585e+05,12
2.960009205e-01,7.712157809e-02,1.416586109e+01,1.489005455e+00,9.982921218e+02,-7.726000128e+04,12
