x,y,vx,vy,rho,p,neighbor_count
9.467006834e-02,1.003847842e-01,1.051516444e+02,4.284263347e+01,1.262112428e+03,2.621124276e+07,33
1.985550093e+00,4.406324368e-02,-3.926098389e+01,6.544531993e+00,1.106083410e+03,1.060834097e+07,28
1.143365821e-02,3.814458409e-02,7.525447574e+01,5.594430705e+01,1.030102638e+03,3.010263795e+06,26
2.320551035e-02,2.897343872e-02,-2.520441304e+01,-4.382321638e+00,1.090139559e+03,9.013955914e+06,29
4.210440117e-02,3.040534860e-02,2.076200120e+01,6.360574508e+00,1.097361875e+03,9.736187462e+06,37
5.334496665e-02,3.031577371e-02,4.544401526e+01,1.070112350e+01,1.169323227e+03,1.693232266e+07,35
6.194994173e-02,2.996544007e-02,3.764879280e+01,2.210706906e+00,1.120895613e+03,1.208956127e+07,34
7.081214054e-02,2.985825191e-02,2.059466802e+01,-2.704325627e+00,1.064631437e+03,6.463143741e+06,36
8.032885240e-02,2.986863667e-02,9.877721041e+00,-3.183857510e+00,1.034802056e+03,3.480205594e+06,37
9.014034417e-02,2.989965145e-02,4.540635145e+00,-2.613257952e+00,1.020067922e+03,2.006792185e+06,36
1.000687649e-01,2.993498702e-02,2.247702185e+00,-1.850288695e+00,1.012877572e+03,1.287757216e+06,36
1.100381834e-01,2.996263580e-02,1.275231303e+00,-1.200287935e+00,1.008941677e+03,8.941677239e+05,36
1.200220956e-01,2.998062693e-02,7.854560650e-01,-7.199295982e-01,1.006443757e+03,6.443756537e+05,36
1.300122477e-01,2.999099430e-02,4.728422355e-01,-3.956703377e-01,1.004845685e+03,4.845685278e+05,36
1.400062267e-01,2.999649966e-02,2.608309101e-01,-1.967731168e-01,1.003905770e+03,3.905770198e+05,36
1.500028570e-01,2.999918583e-02,1.294444090e-01,-8.843047536e-02,1.003402175e+03,3.402174875e+05,36
1.600011925e-01,3.000036462e-02,5.831880358e-02,-3.645206443e-02,1.003152715e+03,3.152714618e+05,36
1.700004624e-01,3.000083151e-02,2.425829963e-02,-1.408673458e-02,1.003038380e+03,3.038380263e+05,36
1.800001698e-01,3.000100312e-02,9.425775695e-03,-5.195323606e-03,1.002990269e+03,2.990268732e+05,36
1.900000603e-01,3.000106298e-02,3.443880512e-03,-1.867720357e-03,1.002971619e+03,2.971618548e+05,36
2.000000217e-01,3.000108286e-02,1.195897975e-03,-6.914182284e-04,1.002964859e+03,2.964858522e+05,36
2.100000089e-01,3.000108914e-02,4.048919576e-04,-2.980402324e-04,1.002962538e+03,2.962537867e+05,36
2.200000049e-01,3.000109103e-02,1.419461859e-04,-1.726959505e-04,1.002961780e+03,2.961780183e+05,36
2.300000037e-01,3.000109158e-02,5.865006298e-05,-1.343622343e-04,1.002961544e+03,2.961544481e+05,36
2.400000033e-01,3.000109174e-02,3.338913048e-05,-1.230770255e-04,1.002961474e+03,2.961474276e+05,36
2.500000033e-01,3.000109178e-02,2.603586211e-05,-1.198743225e-04,1.002961454e+03,2.961454144e+05,36
2.600000032e-01,3.000109179e-02,2.397402358e-05,-1.189955067e-04,1.002961449e+03,2.961448570e+05,36
2.700000032e-01,3.000109179e-02,2.341504434e-05,-1.187616168e-04,1.002961447e+03,2.961447078e+05,36
2.800000032e-01,3.000109179e-02,2.326816473e-05,-1.187011396e-04,1.002961447e+03,2.961446690e+05,36
2.900000032e-01,3.000109179e-02,2.323069515e-05,-1.186859288e-04,1.002961447e+03,2.961446592e+05,36
3.000000032e-01,3.000109179e-02,2.322139731e-05,-1.186822009e-04,1.002961447e+03,2.961446568e+05,36
3.100000032e-01,3.000109179e-02,2.321914933e-05,-1.186813090e-04,1.002961447e+03,2.961446563e+05,36
3.200000032e-01,3.000109179e-02,2.321861949e-05,-1.186811007e-04,1.002961447e+03,2.961446561e+05,36
3.300000032e-01,3.000109179e-02,2.321849775e-05,-1.186810530e-04,1.002961447e+03,2.961446561e+05,36
3.400000032e-01,3.000109179e-02,2.321847036e-05,-1.186810426e-04,1.002961447e+03,2.961446561e+05,36
3.500000032e-01,3.000109179e-02,2.321846383e-05,-1.186810403e-04,1.002961447e+03,2.961446561e+05,36
3.600000032e-01,3.000109179e-02,2.321846171e-05,-1.186810398e-04,1.002961447e+03,2.961446561e+05,36
3.700000032e-01,3.000109179e-02,2.321846095e-05,-1.186810396e-04,1.002961447e+03,2.961446561e+05,36
3.800000032e-01,3.000109179e-02,2.321846134e-05,-1.186810393e-04,1.002961447e+03,2.961446561e+05,36
3.900000032e-01,3.000109179e-02,2.321846232e-05,-1.186810393e-04,1.002961447e+03,2.961446561e+05,36
4.000000032e-01,3.000109179e-02,2.321846269e-05,-1.186810395e-04,1.002961447e+03,2.961446561e+05,36
4.100000032e-01,3.000109179e-02,2.321846226e-05,-1.186810395e-04,1.002961447e+03,2.961446561e+05,36
4.200000032e-01,3.000109179e-02,2.321846149e-05,-1.186810396e-04,1.002961447e+03,2.961446561e+05,36
