x,y,vx,vy,rho,p,neighbor_count
4.900000013e-01,3.000083429e-02,1.264343403e-05,5.487919556e-03,1.002968205e+03,2.968204682e+05,36
5.000000013e-01,3.000083429e-02,1.264343391e-05,5.487919556e-03,1.002968205e+03,2.968204682e+05,36
5.100000013e-01,3.000083429e-02,1.264343403e-05,5.487919556e-03,1.002968205e+03,2.968204682e+05,36
5.200000013e-01,3.000083429e-02,1.264343404e-05,5.487919556e-03,1.002968205e+03,2.968204682e+05,36
5.300000013e-01,3.000083429e-02,1.264343377e-05,5.487919556e-03,1.002968205e+03,2.968204682e+05,36
5.400000013e-01,3.000083429e-02,1.264343352e-05,5.487919556e-03,1.002968205e+03,2.968204682e+05,36
5.500000013e-01,3.000083429e-02,1.264343335e-05,5.487919556e-03,1.002968205e+03,2.968204682e+05,36
5.600000013e-01,3.000083429e-02,1.264343322e-05,5.487919556e-03,1.002968205e+03,2.968204682e+05,36
5.700000013e-01,3.000083429e-02,1.264343356e-05,5.487919556e-03,1.002968205e+03,2.968204682e+05,36
5.800000013e-01,3.000083429e-02,1.264343425e-05,5.487919556e-03,1.002968205e+03,2.968204682e+05,36
5.900000013e-01,3.000083429e-02,1.264343438e-05,5.487919556e-03,1.002968205e+03,2.968204682e+05,36
6.000000013e-01,3.000083429e-02,1.264343419e-05,5.487919556e-03,1.002968205e+03,2.968204682e+05,36
6.100000013e-01,3.000083429e-02,1.264343422e-05,5.487919556e-03,1.002968205e+03,2.968204682e+05,36
6.200000013e-01,3.000083429e-02,1.264343419e-05,5.487919556e-03,1.002968205e+03,2.968204682e+05,36
6.300000013e-01,3.000083429e-02,1.264343400e-05,5.487919556e-03,1.002968205e+03,2.968204682e+05,36
6.400000013e-01,3.000083429e-02,1.264343386e-05,5.487919556e-03,1.002968205e+03,2.968204682e+05,36
6.500000013e-01,3.000083429e-02,1.264343376e-05,5.487919556e-03,1.002968205e+03,2.968204682e+05,36
6.600000013e-01,3.000083429e-02,1.264343363e-05,5.487919556e-03,1.002968205e+03,2.968204682e+05,36
6.700000013e-01,3.000083429e-02,1.264343348e-05,5.487919556e-03,1.002968205e+03,2.968204682e+05,36
6.800000013e-01,3.000083429e-02,1.264343334e-05,5.487919556e-03,1.002968205e+03,2.968204682e+05,36
6.900000013e-01,3.000083429e-02,1.264343323e-05,5.487919556e-03,1.002968205e+03,2.968204682e+05,36
7.000000013e-01,3.000083429e-02,1.264343358e-05,5.487919556e-03,1.002968205e+03,2.968204682e+05,36
7.100000013e-01,3.000083429e-02,1.264343427e-05,5.487919556e-03,1.002968205e+03,2.968204682e+05,36
7.200000013e-01,3.000083429e-02,1.264343439e-05,5.487919556e-03,1.002968205e+03,2.968204682e+05,36
7.300000013e-01,3.000083429e-02,1.264343419e-05,5.487919556e-03,1.002968205e+03,2.968204682e+05,36
7.400000013e-01,3.000083429e-02,1.264343424e-05,5.487919556e-03,1.002968205e+03,2.968204682e+05,36
7.500000013e-01,3.000083429e-02,1.264343419e-05,5.487919556e-03,1.002968205e+03,2.968204682e+05,36
7.600000013e-01,3.000083429e-02,1.264343399e-05,5.487919556e-03,1.002968205e+03,2.968204682e+05,36
7.700000013e-01,3.000083429e-02,1.264343387e-05,5.487919556e-03,1.002968205e+03,2.968204682e+05,36
7.800000013e-01,3.000083429e-02,1.264343380e-05,5.487919556e-03,1.002968205e+03,2.968204682e+05,36
7.900000013e-01,3.000083429e-02,1.264343366e-05,5.487919556e-03,1.002968205e+03,2.968204682e+05,36
8.000000013e-01,3.000083429e-02,1.264343349e-05,5.487919556e-03,1.002968205e+03,2.968204682e+05,36
8.100000013e-01,3.000083429e-02,1.264343333e-05,5.487919556e-03,1.002968205e+03,2.968204682e+05,36
8.200000013e-01,3.000083429e-02,1.264343322e-05,5.487919556e-03,1.002968205e+03,2.968204682e+05,36
8.300000013e-01,3.000083429e-02,1.264343357e-05,5.487919556e-03,1.002968205e+03,2.968204682e+05,36
8.400000013e-01,3.000083429e-02,1.264343426e-05,5.487919556e-03,1.002968205e+03,2.968204682e+05,36
8.500000013e-01,3.000083429e-02,1.264343439e-05,5.487919556e-03,1.002968205e+03,2.968204682e+05,36
8.600000013e-01,3.000083429e-02,1.264343418e-05,5.487919556e-03,1.002968205e+03,2.968204682e+05,36
8.700000013e-01,3.000083429e-02,1.264343421e-05,5.487919556e-03,1.002968205e+03,2.968204682e+05,36
8.800000013e-01,3.000083429e-02,1.264343417e-05,5.487919556e-03,1.002968205e+03,2.968204682e+05,36
8.900000013e-01,3.000083429e-02,1.264343399e-05,5.487919556e-03,1.002968205e+03,2.968204682e+05,36
9.000000013e-01,3.000083429e-02,1.264343382e-05,5.487919556e-03,1.002968205e+03,2.968204682e+05,36
9.100000013e-01,3.000083429e-02,1.264343363e-05,5.487919556e-03,1.002968205e+03,2.968204682e+05,36
9.200000013e-01,3.000083429e-02,1.264343346e-05,5.487919556e-03,1.002968205e+03,2.968204682e+05,36
9.300000013e-01,3.000083429e-02,1.264343334e-05,5.487919556e-03,1.002968205e+03,2.968204682e+05,36
