x,y,vx,vy,rho,p,neighbor_count
6.488374122e-02,6.250996381e-02,-5.184490548e+00,-1.501700638e-01,1.241986906e+03,1.209934532e+05,19
9.535327971e-02,6.793308080e-02,-7.021944189e+00,2.022989909e+00,1.151033150e+03,7.551657477e+04,16
1.219964265e-01,7.500132062e-02,-6.796651400e+00,2.712635543e+00,1.284623249e+03,1.423116243e+05,17
1.477628166e-01,7.509391294e-02,-5.407877909e+00,9.321399042e-01,1.333248488e+03,1.666242441e+05,17
1.715062969e-01,7.384778457e-02,-4.571872710e+00,-4.119541861e-01,1.385015889e+03,1.925079447e+05,18
1.944205570e-01,7.285497696e-02,-3.418862037e+00,-1.293573429e+00,1.426034674e+03,2.130173370e+05,21
2.166203196e-01,7.193765660e-02,-2.328688368e+00,-2.036052207e+00,1.469714142e+03,2.348570709e+05,21
2.380437949e-01,7.137675261e-02,-1.449312765e+00,-2.496190071e+00,1.513033841e+03,2.565169203e+05,22
2.589325413e-01,7.104268062e-02,-8.659430342e-01,-2.776175323e+00,1.545543240e+03,2.727716198e+05,25
2.794613512e-01,7.086374269e-02,-4.835650369e-01,-2.933138850e+00,1.568201034e+03,2.841005168e+05,25
2.997516014e-01,7.077567721e-02,-2.477505907e-01,-3.016930924e+00,1.582706887e+03,2.913534436e+05,25
3.198958966e-01,7.073562585e-02,-1.153129427e-01,-3.058641537e+00,1.591084676e+03,2.955423378e+05,26
3.399607996e-01,7.071892892e-02,-4.860384717e-02,-3.077600935e+00,1.595380963e+03,2.976904814e+05,26
3.599874150e-01,7.071254059e-02,-1.832500013e-02,-3.085425132e+00,1.597339083e+03,2.986695417e+05,26
3.799976524e-01,7.071033938e-02,-5.520302740e-03,-3.088296148e+00,1.598116851e+03,2.990584254e+05,26
4.000021522e-01,7.070982344e-02,6.298624275e-04,-3.088996698e+00,1.598316219e+03,2.991581097e+05,26
4.200066516e-01,7.071033926e-02,6.779687981e-03,-3.088296322e+00,1.598116902e+03,2.990584508e+05,26
4.400168879e-01,7.071254020e-02,1.958314903e-02,-3.085425655e+00,1.597339228e+03,2.986696140e+05,26
4.600435005e-01,7.071892785e-02,4.985922420e-02,-3.077602239e+00,1.595381302e+03,2.976906509e+05,26
4.801083975e-01,7.073562320e-02,1.165630608e-01,-3.058644452e+00,1.591085376e+03,2.955426879e+05,26
5.002526806e-01,7.077567130e-02,2.489921304e-01,-3.016936688e+00,1.582708159e+03,2.913540793e+05,25
5.205429100e-01,7.086373068e-02,4.847968810e-01,-2.933148369e+00,1.568202991e+03,2.841014953e+05,25
5.410716915e-01,7.104265944e-02,8.671757878e-01,-2.776186752e+00,1.545545766e+03,2.727728828e+05,25
