x,y,vx,vy,rho,pressure,neighbor_count
4.500000000e-06,4.500000000e-06,0.000000000e+00,0.000000000e+00,9.980885073e+02,-1.556683677e+05,10
3.248510452e-02,4.500000000e-06,2.190303509e-01,0.000000000e+00,1.003211091e+03,1.117153674e+06,13
6.805921641e-02,4.500000000e-06,4.247889761e-01,0.000000000e+00,1.003669088e+03,1.151165158e+06,12
2.436561357e-01,2.135392928e-01,1.366892135e+01,1.180251867e+01,1.014566006e+03,5.940248141e+05,11
1.037296360e-01,4.500000000e-06,5.386441765e-01,0.000000000e+00,1.003980975e+03,1.171962220e+06,13
2.314573483e-01,1.638019771e-01,5.668641028e+00,1.881601352e+01,5.285438249e+02,-3.064736587e+05,5
1.394742002e-01,4.500000000e-06,7.412868935e-01,0.000000000e+00,1.004107728e+03,1.177265372e+06,14
1.759803680e-01,4.500000000e-06,7.347843532e-01,0.000000000e+00,1.003886075e+03,1.140769104e+06,13
2.135365274e-01,4.500000000e-06,6.366157329e-01,0.000000000e+00,1.003671318e+03,1.108170623e+06,12
2.522138165e-01,4.500000000e-06,5.834988611e-01,0.000000000e+00,1.003544290e+03,1.087279078e+06,12
2.919905952e-01,4.500000000e-06,5.440054992e-01,0.000000000e+00,1.003497125e+03,1.075933447e+06,12
3.331687876e-01,4.500000000e-06,4.997239234e-01,0.000000000e+00,1.003538347e+03,1.074057588e+06,11
3.883339429e-01,4.500000000e-06,1.027628918e-02,0.000000000e+00,1.003450652e+03,1.064770094e+06,11
4.314250793e-01,4.500000000e-06,1.887236357e-02,0.000000000e+00,1.003440010e+03,1.063901138e+06,11
5.451552188e-01,4.500000000e-06,4.069208532e-01,0.000000000e+00,1.003633023e+03,1.080345277e+06,10
9.999955000e-01,1.152101216e-01,0.000000000e+00,-2.750893578e-01,1.003654436e+03,1.082352755e+06,11
4.500000000e-06,2.238016766e-02,0.000000000e+00,5.900887877e-02,1.004578493e+03,1.532368294e+06,13
2.527164304e-01,1.980779742e-01,2.301949517e+01,1.835996213e+01,9.957281484e+02,-3.064736587e+05,9
3.049960016e-01,1.512002762e-01,1.754872805e+01,-4.098983384e+00,9.965557388e+02,-3.064736587e+05,8
2.766398533e-01,6.828415999e-02,7.869505314e+00,-2.553692988e+00,9.901864377e+02,-3.064736587e+05,10
2.155807226e-01,1.143636607e-01,3.792568106e+00,1.700377403e+01,1.000000000e+03,0.000000000e+00,5
2.528615314e-01,8.724407192e-02,1.056932921e+01,-1.859025284e+01,9.180933897e+02,-3.064736587e+05,10
2.701029342e-01,1.216222036e-01,1.180441585e+01,1.534071605e+01,1.000000000e+03,0.000000000e+00,6
3.251676445e-01,7.768969885e-02,1.402707289e+01,-2.269046643e+00,9.967308444e+02,-6.264176582e+04,10
3.729220077e-01,8.801430719e-02,9.296758291e+00,6.923484407e+00,1.006669079e+03,1.162271194e+05,10
3.710956937e-01,8.418767131e-02,1.562929375e+01,4.258442386e-01,9.941155131e+02,-3.064736587e+05,9
4.031292390e-01,1.020630681e-01,1.305974949e+01,-8.084054113e-01,1.001578950e+03,2.004478406e+05,9
4.645160448e-01,9.347518294e-02,1.408527333e+01,1.923161951e+00,9.948918126e+02,-1.928821799e+05,8
3.787555102e-01,1.063513017e-01,7.980032471e+00,3.148283389e+00,9.985743816e+02,2.935136300e+03,8
4.983479047e-01,1.545571445e-01,1.201522410e+01,4.745612579e+00,9.908850664e+02,-2.628783561e+05,8
4.630679493e-01,9.002577179e-02,1.218367952e+01,3.307916344e+00,9.958667631e+02,-5.693199917e+04,7
5.272247441e-01,1.027101716e-01,1.335307662e+01,3.891465442e+00,1.000002107e+03,-1.536583015e+05,7
4.500000000e-06,5.143315004e-02,0.000000000e+00,9.045969840e-02,1.004250350e+03,1.484790552e+06,12
9.379729624e-02,2.148257466e-01,-3.038613149e+00,7.571219787e+00,9.949594435e+02,-3.064736587e+05,13
1.079338536e-01,1.919713634e-01,-2.544029009e+00,5.308079641e+00,9.968411066e+02,-3.064736587e+05,8
2.692013620e-01,1.110018755e-01,4.860653169e+00,-2.022620924e+00,1.012446672e+03,-7.750293293e+04,8
3.155293755e-01,1.008746666e-01,5.118462306e+00,-1.849229226e+00,1.012688352e+03,7.801121353e+05,8
2.174614274e-01,1.007850462e-01,1.001825292e+01,2.249253733e+00,9.649907765e+02,-3.064736587e+05,7
2.561332959e-01,1.306516923e-01,1.247689458e+01,1.808866851e+00,9.652886388e+02,-3.064736587e+05,9
3.203036557e-01,8.038777854e-02,1.455705388e+01,-9.270907723e-01,9.811850775e+02,-1.268584731e+05,10
3.569068628e-01,1.273181529e-01,9.234870359e+00,-3.678174516e-01,9.837928604e+02,-3.064736587e+05,9
3.450153051e-01,1.751711243e-01,8.553514397e+00,-1.306132959e+00,9.872237377e+02,-1.937108429e+05,14
4.089814872e-01,9.638043736e-02,8.116739927e+00,3.629779795e+00,9.971517327e+02,-1.558780416e+05,11
4.236243654e-01,9.967419387e-02,9.759828738e+00,1.288572268e+00,1.002187537e+03,-7.786909388e+04,12
4.354586196e-01,1.070213861e-01,1.258498351e+01,-3.753534676e+00,9.902849697e+02,-1.793130921e+05,9
4.981731171e-01,1.548902763e-01,1.237279124e+01,2.940060965e+00,9.888238369e+02,-2.498040639e+05,8
5.532054997e-01,1.098665934e-01,2.042998746e+01,-6.867079094e+00,1.000000000e+03,0.000000000e+00,5
5.321883709e-01,9.511749035e-02,1.299558762e+01,1.758728511e+00,1.000002576e+03,3.273504173e+04,8
1.974460176e-01,2.266758127e-01,6.656826061e+00,-1.161389779e+01,9.879918177e+02,-3.064736587e+05,8
