x,y,vx,vy,rho,pressure,neighbor_count
6.838438752e-03,6.814297957e-03,-7.852399092e+01,-7.860170358e+01,1.179041293e+03,5.274728594e+06,10
4.608764846e-02,2.639167436e-02,-4.606071450e+01,-3.539802051e+01,1.319200026e+03,8.925495614e+06,18
7.370772821e-02,1.135703761e-02,-2.747517067e+01,-7.776369951e+01,1.149444626e+03,6.039218455e+06,14
9.697012621e-02,2.861737070e-02,-2.679076656e+01,-9.828442824e+00,1.161454042e+03,6.504173151e+06,18
1.207297004e-01,1.305966129e-02,-2.762064047e+01,-7.313647212e+01,1.190247320e+03,7.113257026e+06,15
1.434763614e-01,2.399337126e-02,-1.970073775e+01,-2.229197964e+01,1.226789113e+03,8.141067971e+06,18
1.659818191e-01,1.781821552e-02,-1.463363057e+01,-5.572456076e+01,1.318720842e+03,9.864341175e+06,17
1.886418312e-01,2.225233173e-02,-5.530398060e+00,-3.277731993e+01,1.375446316e+03,1.092558759e+07,17
2.106257449e-01,1.990855697e-02,1.177334747e+00,-4.750880697e+01,1.385445906e+03,1.104499280e+07,17
2.331757927e-01,2.206276973e-02,9.127730976e+00,-3.704413347e+01,1.443079607e+03,1.176470549e+07,17
2.558383409e-01,2.201581523e-02,1.636407166e+01,-3.876375587e+01,1.399622383e+03,1.102178547e+07,17
2.795446080e-01,2.146451935e-02,2.689118156e+01,-4.392778551e+01,1.438823129e+03,1.129042074e+07,19
3.044144496e-01,2.596325183e-02,3.436508987e+01,-2.673857296e+01,1.379732513e+03,1.009101486e+07,18
3.311773364e-01,2.131409055e-02,4.769352448e+01,-5.244063653e+01,1.301870918e+03,8.496484479e+06,16
3.611805200e-01,3.450227789e-02,6.614031770e+01,-1.790891609e+01,1.359698823e+03,8.777242800e+06,18
3.965289281e-01,5.168378968e-02,7.728541399e+01,1.766519497e+01,1.195644795e+03,5.994372335e+06,13
2.640929746e-02,4.603253083e-02,-3.532959862e+01,-4.619497508e+01,1.318550860e+03,8.916192290e+06,18
7.626990842e-02,7.625548648e-02,2.484530050e+00,2.442820861e+00,1.121549608e+03,3.926595925e+06,18
8.750286348e-02,7.751353800e-02,7.268537767e+00,6.722238658e+00,9.554950287e+02,6.067997783e+04,16
1.121527710e-01,7.630744427e-02,-2.580119838e+00,4.918924403e+00,1.040410682e+03,1.947524322e+06,18
1.306067773e-01,7.828917433e-02,4.284522293e+00,7.996269004e+00,9.967739187e+02,9.915314978e+05,18
1.505823028e-01,8.016575755e-02,-4.312450580e-01,1.043148918e+01,1.041122631e+03,1.819244997e+06,18
1.710210391e-01,8.040962769e-02,3.191922925e+00,1.000557563e+01,1.006273314e+03,1.093281266e+06,18
1.905444053e-01,8.130439496e-02,7.902073133e-01,1.098665661e+01,1.030287805e+03,1.483638518e+06,18
2.110767197e-01,8.149378244e-02,2.381117831e+00,1.108299049e+01,1.007461088e+03,1.061131666e+06,18
2.307989225e-01,8.198978430e-02,1.998074669e+00,1.184330030e+01,1.023026306e+03,1.274664661e+06,18
2.514586991e-01,8.203838215e-02,2.540087990e+00,1.186658022e+01,1.006668651e+03,9.834068569e+05,17
2.715315344e-01,8.247422223e-02,3.861937276e+00,1.330446848e+01,1.020407620e+03,1.170162354e+06,18
2.929515979e-01,8.189621188e-02,3.837583053e+00,1.294517840e+01,1.002982894e+03,8.970456471e+05,17
3.132215907e-01,8.150185031e-02,7.608082977e+00,1.512901874e+01,1.020612319e+03,1.203554997e+06,17
3.345650764e-01,7.882441530e-02,8.312316498e+00,1.099971793e+01,1.002218647e+03,6.399147491e+05,15
3.517064971e-01,8.430840233e-02,9.082847440e+00,2.178090198e+01,9.873105847e+02,2.381636377e+05,11
1.131272963e-02,7.360080844e-02,-7.794349409e+01,-2.779024908e+01,1.146689492e+03,5.991657287e+06,14
7.752444708e-02,8.748432266e-02,6.757835155e+00,7.241201024e+00,9.562129075e+02,6.800123451e+04,16
9.562188870e-02,9.558271256e-02,1.547588581e+01,1.540673511e+01,1.031565276e+03,8.698512919e+05,20
1.130322204e-01,9.153592915e-02,9.488718887e-01,1.227425301e+01,1.003117750e+03,8.522909972e+05,18
1.318674284e-01,9.222654643e-02,5.395062299e+00,1.071182881e+01,9.946199079e+02,1.870570257e+05,17
1.514117426e-01,9.287219135e-02,-2.216392200e-01,1.409372520e+01,1.000103992e+03,6.484521936e+05,19
1.715442138e-01,9.263357221e-02,3.405590806e+00,1.181222237e+01,9.906759099e+02,3.153473949e+05,18
1.910801989e-01,9.319831109e-02,6.863878096e-01,1.364237492e+01,1.001940944e+03,5.562442307e+05,19
2.117264333e-01,9.299370162e-02,3.057090246e+00,1.228331456e+01,9.944817404e+02,4.152350424e+05,18
2.312330088e-01,9.311239001e-02,1.885653647e+00,1.265188101e+01,9.996053894e+02,4.502982243e+05,18
2.525376016e-01,9.325699856e-02,3.992413252e+00,1.242393899e+01,1.000271197e+03,4.686269800e+05,18
2.718668907e-01,9.256445365e-02,3.464531793e+00,1.072508659e+01,9.939611155e+02,2.728295844e+05,17
2.950935536e-01,9.335828002e-02,8.165171297e+00,1.251029116e+01,1.010576781e+03,5.678802650e+05,16
3.130737563e-01,9.042465630e-02,5.535383199e+00,5.428488560e+00,9.840294736e+02,-2.476908742e+05,16
3.408161611e-01,9.385015858e-02,1.742169302e+01,1.178756112e+01,1.015268409e+03,7.711734940e+05,13
3.585260813e-01,8.905665812e-02,1.479952875e+01,-1.019677792e+00,9.966961254e+02,-3.933559616e+05,9
2.867579651e-02,9.676083097e-02,-9.434519744e+00,-2.744743060e+01,1.158894860e+03,6.460046155e+06,18
7.629730991e-02,1.120960039e-01,4.893457235e+00,-2.743743380e+00,1.040675811e+03,1.948399400e+06,18
9.158064345e-02,1.129406206e-01,1.233567021e+01,7.162701843e-01,1.002317944e+03,8.467703152e+05,18
1.154866565e-01,1.154383618e-01,2.138054519e+00,1.961394433e+00,1.037208525e+03,1.672448578e+06,18
1.318179224e-01,1.148496231e-01,7.550723152e+00,2.440416814e+00,1.009247953e+03,8.322576042e+05,19
1.528820115e-01,1.159048331e-01,8.607020979e-01,2.702168689e+00,1.039335194e+03,1.417246508e+06,19
1.717800718e-01,1.160781054e-01,4.852524144e+00,3.918185573e+00,1.009333592e+03,8.122870160e+05,18
1.917591141e-01,1.166934139e-01,1.500015446e+00,4.154443412e+00,1.031333262e+03,1.144952751e+06,18
2.120561080e-01,1.165761466e-01,3.955442356e+00,4.371196870e+00,1.010816111e+03,7.907182259e+05,18
2.312708994e-01,1.173887798e-01,2.374445409e+00,5.899498422e+00,1.020507206e+03,8.376080333e+05,18
2.529216329e-01,1.165800527e-01,4.463451290e+00,4.310486599e+00,1.014301303e+03,7.803046933e+05,18
2.710645593e-01,1.180302304e-01,3.241239966e+00,8.169761886e+00,1.008705036e+03,4.773693496e+05,18
2.947334367e-01,1.159358647e-01,6.846538158e+00,3.360551981e+00,1.017948379e+03,8.678908999e+05,16
3.110520087e-01,1.181396461e-01,4.455549569e+00,1.014615143e+01,9.929843203e+02,4.645957292e+04,17
3.374484461e-01,1.145821675e-01,1.166530850e+01,2.993235037e+00,1.016866063e+03,7.190813676e+05,14
3.515736494e-01,1.149601548e-01,6.854891631e+00,8.736044074e+00,9.829740107e+02,-4.968205219e+05,11
1.289261722e-02,1.202645021e-01,-7.395894143e+01,-2.943147058e+01,1.190628489e+03,7.086381841e+06,16
7.825475773e-02,1.305224570e-01,7.912367794e+00,4.124052894e+00,9.985900049e+02,1.020482279e+06,18
9.229709664e-02,1.317275771e-01,1.085873786e+01,5.177250506e+00,9.946496939e+02,1.961996132e+05,16
1.149052811e-01,1.316268535e-01,2.584566810e+00,7.252239654e+00,1.011321151e+03,8.673019537e+05,19
1.319341302e-01,1.316995901e-01,6.832221621e+00,6.421639602e+00,9.776184523e+02,1.858641439e+05,18
1.527881883e-01,1.319390230e-01,9.177557572e-01,7.885256634e+00,1.008856907e+03,8.234315638e+05,20
1.719251653e-01,1.316844261e-01,4.703158764e+00,6.744884448e+00,9.835928233e+02,4.224361702e+05,19
1.916693985e-01,1.320079388e-01,1.137773221e+00,7.896174950e+00,1.008844741e+03,7.478344312e+05,19
2.121645362e-01,1.318127176e-01,4.101014431e+00,7.174617494e+00,9.933134457e+02,5.721079651e+05,18
2.311539509e-01,1.317674642e-01,1.786151905e+00,7.180365305e+00,1.005499524e+03,5.920803407e+05,18
2.529586756e-01,1.318126657e-01,4.730872831e+00,7.314150032e+00,1.004346960e+03,6.855863801e+05,17
