x,y,vx,vy,rho,pressure,neighbor_count
4.500000000e-06,4.500000000e-06,0.000000000e+00,0.000000000e+00,9.985553251e+02,-1.445573547e+05,10
3.092396667e-02,4.500000000e-06,2.303136210e+00,0.000000000e+00,1.002302760e+03,1.142686968e+06,13
6.176379656e-02,4.500000000e-06,1.213628761e+00,0.000000000e+00,1.003664016e+03,1.271518288e+06,13
1.387113746e-01,1.072986210e-01,2.572382645e+01,3.708261543e+01,9.795199913e+02,-3.198651919e+05,6
9.571485998e-02,4.500000000e-06,2.587684978e+00,0.000000000e+00,1.004227945e+03,1.218160718e+06,13
1.596825651e-01,1.257855391e-01,9.613769119e+00,8.006971808e+00,9.520269155e+02,-3.198651919e+05,12
1.309949470e-01,4.500000000e-06,8.519172983e-01,0.000000000e+00,1.003659578e+03,1.134891656e+06,12
1.682770846e-01,4.500000000e-06,1.301309404e+00,0.000000000e+00,1.003600732e+03,1.103300479e+06,12
2.069803235e-01,4.500000000e-06,4.231058601e-01,0.000000000e+00,1.003595536e+03,1.091713310e+06,12
2.466880790e-01,4.500000000e-06,6.085719641e-01,0.000000000e+00,1.003575197e+03,1.083413078e+06,12
2.875520934e-01,4.500000000e-06,6.596158997e-01,0.000000000e+00,1.003509015e+03,1.073625321e+06,12
3.291159861e-01,4.500000000e-06,5.538457441e-01,0.000000000e+00,1.003423675e+03,1.063960824e+06,11
3.875141237e-01,4.500000000e-06,6.415915746e-02,0.000000000e+00,1.003489864e+03,1.067855977e+06,11
4.318804609e-01,4.500000000e-06,1.376077435e-01,0.000000000e+00,1.003458651e+03,1.065232345e+06,11
5.418797812e-01,4.500000000e-06,4.612490073e-01,0.000000000e+00,1.003807652e+03,1.097520873e+06,11
8.737785333e-01,6.000917923e-02,7.847464449e+01,3.639643092e+00,1.003707438e+03,1.086247212e+06,10
4.500000000e-06,2.111993236e-02,0.000000000e+00,6.305244269e-01,1.003538068e+03,1.495974195e+06,13
1.128348377e-01,7.804951705e-02,1.250087886e+01,-6.997388107e+00,9.181224359e+02,-3.198651919e+05,8
1.504366832e-01,1.109117165e-01,7.733506871e+00,3.052010213e+00,9.383267159e+02,-3.198651919e+05,8
1.771946148e-01,9.500697733e-02,1.680573119e+01,1.268723568e+00,9.710513490e+02,-3.198651919e+05,12
1.669290516e-01,6.609377274e-02,6.420901877e+00,3.076854206e-01,9.936975184e+02,1.718193388e+05,11
1.908423270e-01,8.159043823e-02,7.459730218e+00,7.040886907e+00,1.024742500e+03,1.220712471e+06,13
2.247374456e-01,8.421333754e-02,6.635533254e+00,2.350167694e+00,9.971446512e+02,-1.090947644e+05,13
2.346884990e-01,8.594130147e-02,7.379055019e+00,8.743363725e-02,1.001683454e+03,8.229059289e+04,12
2.827134641e-01,8.004554237e-02,1.269461627e+01,1.977165226e+00,9.857245478e+02,-3.198651919e+05,13
2.804725389e-01,8.150241478e-02,8.963736210e+00,4.133814389e+00,9.831309125e+02,-3.198651919e+05,11
3.261915942e-01,8.837245476e-02,1.075525751e+01,6.215078536e+00,1.015784987e+03,3.307302393e+05,13
3.584959464e-01,6.862512996e-02,1.792270020e+01,-2.223876581e+00,9.947232494e+02,-2.151056124e+05,12
3.170993169e-01,9.116610740e-02,7.842869455e+00,7.935903598e-01,9.766086412e+02,-3.198651919e+05,14
3.988838702e-01,1.105745860e-01,1.040427589e+01,5.132418995e+00,9.973353372e+02,-1.702773590e+05,9
3.963442135e-01,6.480806756e-02,3.666273035e+00,9.725812726e-01,9.997947598e+02,1.747446035e+05,13
4.374632716e-01,9.953801254e-02,1.041895427e+01,-1.638780436e+00,9.985548541e+02,-2.953394122e+04,9
4.500000000e-06,4.950810714e-02,0.000000000e+00,1.977775642e+00,1.004019867e+03,1.500168882e+06,12
1.067853999e-01,1.440037452e-01,6.218112997e+00,7.168195071e+00,9.749591006e+02,-3.198651919e+05,11
1.097246640e-01,1.516075595e-01,-2.301528002e+00,1.951883693e+01,9.918018535e+02,-2.121021651e+05,11
1.965758411e-01,1.235102849e-01,1.667605729e+01,2.676867797e+00,9.931313583e+02,-3.198651919e+05,13
2.093703581e-01,1.085381031e-01,1.988797844e+01,4.897823469e+00,9.929742662e+02,-3.198651919e+05,13
1.948229879e-01,8.051215220e-02,5.516643128e+00,-4.138621971e+00,9.901757706e+02,2.774391643e+05,14
2.225753103e-01,1.164041921e-01,9.689135331e+00,1.218034669e+00,9.971289144e+02,1.562649948e+05,12
2.340991975e-01,9.600220559e-02,6.271623975e+00,9.051687961e-02,9.895223699e+02,2.350908455e+05,11
2.732755503e-01,1.148195312e-01,1.783458009e+01,5.792477015e+00,1.039728580e+03,2.118342760e+05,14
2.796110432e-01,1.360112622e-01,1.275230337e+01,6.037955184e+00,1.022908999e+03,-4.285292703e+04,13
3.015360288e-01,1.066046123e-01,1.028232714e+01,5.639978567e-01,1.016368206e+03,1.629831197e+05,11
3.447952065e-01,8.678258385e-02,1.284262631e+01,-1.860556313e+00,9.838170074e+02,-3.198651919e+05,10
3.524011947e-01,1.187098054e-01,8.818460155e+00,4.541668595e+00,9.993668736e+02,1.757637751e+04,8
3.980783927e-01,1.115852617e-01,1.637736116e+01,7.573531153e+00,9.981161418e+02,-1.642461259e+05,8
4.186802508e-01,9.601995149e-02,1.467391229e+01,6.699877794e+00,1.007277218e+03,3.129219745e+05,13
4.215930125e-01,9.047786086e-02,1.738010279e+01,4.153166350e+00,9.950903233e+02,-3.198651919e+05,11
1.298539395e-01,1.495514371e-01,3.359916156e+01,3.213619129e+01,1.001975632e+03,-3.198651919e+05,15
1.117253662e-01,1.110217875e-01,5.981259053e+00,-1.005486057e+01,5.614585611e+02,-3.198651919e+05,7
