x,y,vx,vy,rho,p,neighbor_count
6.740376628e-02,8.244467770e-02,4.671530367e+02,3.629961678e+02,1.176221339e+03,1.762213395e+07,31
1.994750576e+00,4.246457202e-02,-1.309474856e+02,8.077284088e+01,8.431929862e+02,-1.568070138e+07,27
5.888917610e-03,3.065014466e-02,-7.929143046e+01,1.898410403e+01,7.556284578e+02,-2.443715422e+07,29
2.648777816e-02,2.976934197e-02,-2.187309505e+01,-5.341982642e+00,1.066531361e+03,6.653136124e+06,29
3.940407576e-02,3.000497031e-02,4.900024238e+00,-5.516747245e-01,1.080244508e+03,8.024450848e+06,31
4.995351980e-02,2.999217036e-02,2.761737031e+00,-8.183961729e-01,1.006554964e+03,6.554963619e+05,36
5.999834941e-02,3.000002693e-02,2.794809347e-01,-1.012157025e-01,9.994560190e+02,-5.439809905e+04,35
6.999751967e-02,3.000118689e-02,-1.986653079e-01,3.701127113e-02,1.002733157e+03,2.733157399e+05,36
7.999933662e-02,3.000077159e-02,-6.282268182e-02,1.401823160e-05,1.003019303e+03,3.019302916e+05,36
8.999995021e-02,3.000072247e-02,-3.517741453e-03,-3.074432828e-03,1.002996815e+03,2.996815361e+05,36
1.000000130e-01,3.000075340e-02,2.296574169e-03,1.887351201e-03,1.002980212e+03,2.980211837e+05,36
1.100000080e-01,3.000077060e-02,1.210441397e-03,4.681632941e-03,1.002971826e+03,2.971826035e+05,36
1.200000032e-01,3.000077644e-02,3.783156883e-04,5.686582061e-03,1.002969466e+03,2.969466162e+05,36
1.300000016e-01,3.000077788e-02,8.844034416e-05,5.944607949e-03,1.002968970e+03,2.968970152e+05,36
1.400000012e-01,3.000077813e-02,2.413653774e-05,5.991139228e-03,1.002968857e+03,2.968857082e+05,36
1.500000012e-01,3.000077816e-02,1.362893022e-05,5.997693462e-03,1.002968833e+03,2.968832883e+05,36
1.600000012e-01,3.000077817e-02,1.196881431e-05,5.998623526e-03,1.002968829e+03,2.968828944e+05,36
1.700000012e-01,3.000077817e-02,1.169705785e-05,5.998762407e-03,1.002968828e+03,2.968828458e+05,36
1.800000012e-01,3.000077817e-02,1.165761493e-05,5.998780916e-03,1.002968828e+03,2.968828404e+05,36
1.900000012e-01,3.000077817e-02,1.165274984e-05,5.998783035e-03,1.002968828e+03,2.968828397e+05,36
2.000000012e-01,3.000077817e-02,1.165221314e-05,5.998783258e-03,1.002968828e+03,2.968828397e+05,36
2.100000012e-01,3.000077817e-02,1.165215475e-05,5.998783281e-03,1.002968828e+03,2.968828397e+05,36
2.200000012e-01,3.000077817e-02,1.165214852e-05,5.998783283e-03,1.002968828e+03,2.968828397e+05,36
2.300000012e-01,3.000077817e-02,1.165214783e-05,5.998783283e-03,1.002968828e+03,2.968828397e+05,36
2.400000012e-01,3.000077817e-02,1.165214791e-05,5.998783284e-03,1.002968828e+03,2.968828397e+05,36
2.500000012e-01,3.000077817e-02,1.165214801e-05,5.998783283e-03,1.002968828e+03,2.968828397e+05,36
2.600000012e-01,3.000077817e-02,1.165214782e-05,5.998783283e-03,1.002968828e+03,2.968828397e+05,36
2.700000012e-01,3.000077817e-02,1.165214750e-05,5.998783283e-03,1.002968828e+03,2.968828397e+05,36
2.800000012e-01,3.000077817e-02,1.165214758e-05,5.998783284e-03,1.002968828e+03,2.968828397e+05,36
2.900000012e-01,3.000077817e-02,1.165214803e-05,5.998783284e-03,1.002968828e+03,2.968828397e+05,36
3.000000012e-01,3.000077817e-02,1.165214817e-05,5.998783283e-03,1.002968828e+03,2.968828397e+05,36
3.100000012e-01,3.000077817e-02,1.165214798e-05,5.998783283e-03,1.002968828e+03,2.968828397e+05,36
3.200000012e-01,3.000077817e-02,1.165214784e-05,5.998783283e-03,1.002968828e+03,2.968828397e+05,36
3.300000012e-01,3.000077817e-02,1.165214770e-05,5.998783283e-03,1.002968828e+03,2.968828397e+05,36
3.400000012e-01,3.000077817e-02,1.165214747e-05,5.998783283e-03,1.002968828e+03,2.968828397e+05,36
3.500000012e-01,3.000077817e-02,1.165214756e-05,5.998783284e-03,1.002968828e+03,2.968828397e+05,36
