x,y,vx,vy,rho,pressure,neighbor_count
4.500000000e-06,4.500000000e-06,0.000000000e+00,0.000000000e+00,9.939683143e+02,-1.168676972e+03,10
2.558666128e-02,4.500000000e-06,-4.932223226e-01,0.000000000e+00,1.010895047e+03,1.372451983e+06,13
4.578511180e-02,4.500000000e-06,4.709775360e-01,0.000000000e+00,9.875134415e+02,6.315109958e+05,13
6.924965435e-02,2.745417164e-02,5.067789182e+00,1.795288667e+01,1.323365063e+03,8.226303611e+06,18
8.960416367e-02,4.500000000e-06,8.028709277e+00,0.000000000e+00,9.652527870e+02,2.345364811e+05,13
1.035229916e-01,8.147237193e-02,2.897706456e+01,2.051717951e+01,3.701329218e+03,2.537844225e+06,14
1.266034626e-01,4.500000000e-06,-1.281732886e+00,0.000000000e+00,1.005016047e+03,1.125131576e+06,12
1.672875272e-01,4.500000000e-06,-1.028568586e+00,0.000000000e+00,1.003480691e+03,1.088324305e+06,12
2.050732848e-01,4.500000000e-06,5.984533819e-01,0.000000000e+00,1.003625670e+03,1.099762377e+06,12
2.454694142e-01,4.500000000e-06,9.841458113e-01,0.000000000e+00,1.003657797e+03,1.094508773e+06,12
2.844620480e-01,4.500000000e-06,4.624723204e-01,0.000000000e+00,1.003659222e+03,1.093084816e+06,13
3.268305767e-01,4.500000000e-06,1.586350970e+00,0.000000000e+00,1.003538213e+03,1.072527949e+06,11
3.888054464e-01,4.500000000e-06,-7.994726296e-01,0.000000000e+00,1.003282120e+03,1.069973658e+06,11
4.264290391e-01,4.500000000e-06,6.474159492e+00,0.000000000e+00,1.003391798e+03,1.079694538e+06,11
5.359557218e-01,4.500000000e-06,8.836633003e+00,0.000000000e+00,1.003670855e+03,1.084693515e+06,11
6.373205714e-01,5.539860041e-02,7.848432706e+01,7.142400227e+00,1.052611472e+03,3.136836518e+06,12
4.500000000e-06,2.632765659e-02,0.000000000e+00,5.834351611e-01,1.010869857e+03,1.467186023e+06,14
9.010913528e-02,8.448186149e-02,-1.519213514e+00,1.220632354e+01,3.001455162e+03,2.868267747e+06,13
1.169353968e-01,9.544926277e-02,2.528813200e+01,9.807614558e+00,2.573523068e+03,1.763603258e+06,16
1.296259467e-01,9.276795114e-02,1.598394146e+01,1.277133621e+01,4.216741163e+02,-4.338577842e+05,16
1.477273828e-01,7.171667927e-02,4.094015767e+00,-1.602773515e+00,9.002798266e+02,-3.241557346e+04,13
1.736511045e-01,8.013372750e-02,5.675453038e+00,6.146426251e+00,1.009479807e+03,-2.009671035e+05,16
1.949134312e-01,7.815177036e-02,1.080925872e+01,6.245388632e+00,1.030196482e+03,6.114143799e+04,15
2.158274158e-01,7.966001144e-02,5.600839370e+00,6.823435096e+00,9.874786983e+02,-2.281394895e+05,16
2.384670018e-01,7.230217387e-02,1.491237996e+01,3.578129522e+00,9.971991686e+02,-4.594116557e+04,17
2.610511983e-01,7.594674624e-02,6.477378581e+00,1.224199545e+00,9.941812308e+02,-3.556372735e+05,16
2.783920764e-01,7.252712140e-02,1.933226686e+01,4.240100961e+00,1.004253138e+03,4.819105874e+05,16
3.089873141e-01,7.177435682e-02,1.470705318e+01,-2.322164770e+00,1.000185089e+03,-1.817913573e+05,13
2.954556044e-01,8.862011496e-02,4.495105143e+00,2.620870065e+00,9.930026901e+02,-5.558580058e+05,14
3.547116473e-01,9.540484646e-02,1.087253789e+01,4.056259734e+00,9.877952277e+02,-2.464178407e+05,12
3.615781904e-01,7.957631020e-02,1.552782856e+01,-5.238012095e+00,9.971428654e+02,5.464794570e+03,11
3.993319510e-01,1.086012278e-01,9.539421477e+00,4.589944445e+00,1.005007486e+03,4.480665513e+05,9
4.500000000e-06,4.520519784e-02,0.000000000e+00,-8.421919001e-01,9.655963846e+02,3.365383038e+05,13
9.613663295e-02,1.105785757e-01,2.766524868e+00,1.784190823e+01,1.771498974e+03,7.867550857e+05,13
1.017899088e-01,9.770239469e-02,8.244610250e+00,1.354760725e+01,3.906315647e+03,3.259385271e+06,14
1.457449692e-01,1.000724562e-01,1.633523441e+01,8.698439300e+00,5.073951044e+02,6.548225084e+04,14
1.508447876e-01,9.569435715e-02,1.183159147e+01,3.467482275e+00,6.047888621e+02,-2.897888362e+05,12
1.745297943e-01,9.574201743e-02,1.103593885e+01,-1.751188171e+00,1.036757473e+03,1.050305788e+04,15
1.883117626e-01,9.813160273e-02,7.059468725e+00,6.664813100e+00,1.059863110e+03,5.828953406e+05,15
2.131496147e-01,9.588702994e-02,9.901750133e+00,1.717067620e+00,9.890519035e+02,-1.879967857e+05,16
2.268367659e-01,9.963946039e-02,6.528259491e+00,5.464338400e+00,1.016063488e+03,6.610632011e+05,15
2.562965762e-01,1.055290995e-01,7.288983858e+00,9.993935495e+00,9.955423750e+02,-1.450894959e+05,14
2.720099252e-01,1.014340675e-01,1.022746729e+01,3.655712076e+00,1.013349563e+03,5.636551077e+05,14
