id,is_boundary,x,y,vx,vy,rho,p,m
0,0,0,0,0,0,1000.1923378423076,19692.837143053614,0.40000000000000002
1,0,0.16290126987283388,0.090555740762121154,6.5519773024146311,3.132661196975957,735.30352320858947,0,0.40000000000000002
2,0,0.14792148526167059,0.06148984603836239,4.0115380221220498,0.19652261481300595,756.73519415382032,0,0.40000000000000002
3,0,0.18867121931561021,0.046336872787100213,5.2851116627538399,-0.086589008536737969,998.19189985614321,0,0.40000000000000002
4,0,0.22936378915261685,0.048986566348672392,6.550992855777606,0.32937209719617905,999.33119897526365,0,0.40000000000000002
5,0,0.25563000835152483,0.050832545577721475,7.378291862748922,0.13044930776567737,995.52167915615723,0,0.40000000000000002
6,0,0.28492077814639172,0.048571113534209086,7.9978408158287149,-0.0084471129433930578,992.52568103498527,0,0.40000000000000002
7,0,0.31391077526427025,0.049158076880386779,8.5219545753371317,-0.11712633408723062,975.47174317764313,0,0.40000000000000002
8,0,0.34135941707667827,0.056402496523633987,9.1069287186917389,-0.35731548681028585,739.11142316065582,0,0.40000000000000002
9,0,0.3771920153928961,0.050099311494586296,9.9018867463385103,-0.8424536187397228,909.15694046546241,0,0.40000000000000002
10,0,0.39504875862411848,0.071256331520723248,9.7569866955205562,0.50655356716288424,639.01732459240577,0,0.40000000000000002
11,0,0.42520171358701575,0.069860839229625757,10.412015871222659,0.68484511518383018,774.70055779468282,0,0.40000000000000002
12,0,0.46705561824367731,0.08130257391844338,11.595536185981512,1.19617994851998,738.08413942848313,0,0.40000000000000002
13,0,0.48539463840431346,0.086986250959372027,12.002197944862139,1.4310886400120548,990.94125216679788,0,0.40000000000000002
14,0,0.55284324187353817,0.11579676655902267,14.427580170793421,3.0755222697732312,793.18649051410773,0,0.40000000000000002
15,0,0.64592267753074051,0.085182587925049638,19.002319596192724,2.1739739139254119,359.28811149850998,0,0.40000000000000002
16,0,0.10802328691008486,0.13731275419832337,4.0922787042711777,4.1211729023806267,788.35352124923122,0,0.40000000000000002
17,0,0.17204020640132087,0.14323055645801164,5.9806636635846546,3.3023005196070141,972.9642777972349,0,0.40000000000000002
18,0,0.17026793489530229,0.093834199027902812,5.9273417164834239,1.2516067719538875,764.20499686738594,0,0.40000000000000002
19,0,0.19892631365245891,0.099441837074942363,5.5477778533606541,1.21820798264872,929.1851004980374,0,0.40000000000000002
20,0,0.22157537961343762,0.092066518648717718,6.4102067795746009,0.55932764165898008,832.64302671801101,0,0.40000000000000002
21,0,0.25326501470643376,0.084607749097297902,7.0802347164312796,0.4014031864428651,755.05289613556431,0,0.40000000000000002
22,0,0.27227356018800819,0.095038803692565121,7.0488366100090358,1.1386007381666596,814.76495167967903,0,0.40000000000000002
23,0,0.30288904531186922,0.085470567680753784,7.5477425835176888,0.33967362727966488,911.00243360329637,0,0.40000000000000002
24,0,0.32208529887075082,0.087841769295967334,7.6489376781998697,0.57020405635669047,863.97732863601698,0,0.40000000000000002
25,0,0.35974969038657523,0.089388369899288653,8.6399627107216759,0.68064028167450485,751.01160928488594,0,0.40000000000000002
26,0,0.37990402100670406,0.085307274117781037,8.7680271003604382,0.36141345919528745,961.81497215783918,0,0.40000000000000002
27,0,0.42261487691294858,0.090382946624342722,10.419265373574795,0.75281918142187643,869.62209325134472,0,0.40000000000000002
28,0,0.43496487156643487,0.079946600642355425,9.501657974525882,-0.027159163376501018,942.63530286363755,0,0.40000000000000002
29,0,0.48241056522796727,0.085812717704789251,11.555484749968931,0.42824695259533496,996.59682619705825,0,0.40000000000000002
30,0,0.50661620433327037,0.080333233558137609,12.076364599336724,-0.1969234983836716,553.13155638174783,0,0.40000000000000002
31,0,0.54633081032924047,0.095794345965511452,13.142060278878397,0.73777528330554865,610.62681916414022,0,0.40000000000000002
32,0,0.08074312469768459,0.093984756716817358,1.6092845656480672,0.064278235245375639,405.32162922213166,0,0.40000000000000002
33,0,0.1130061033784866,0.11964349531700744,2.7043316013233527,1.8458240964115844,706.31764110347274,0,0.40000000000000002
34,0,0.19173363920728095,0.10945569635100952,6.9992572597984681,-0.14680171633634859,824.77335245056668,0,0.40000000000000002
35,0,0.16139464699939471,0.063864061146969492,3.215276236847191,-2.1875198980240191,777.49973326715735,0,0.40000000000000002
36,0,0.21438966441824411,0.096051915031080959,5.5935182779465329,-0.42222322245595956,966.94233999444521,0,0.40000000000000002
37,0,0.24175815899644565,0.072151015154570175,6.3610748054985633,-1.6887564973448765,716.34870055727697,0,0.40000000000000002
38,0,0.2746551666870744,0.078384070142332771,7.073708550617801,-1.4930113342452722,736.6881399405687,0,0.40000000000000002
39,0,0.30434836651395042,0.080888666871634207,7.5390800450573794,-1.2528982688994321,905.16039182189218,0,0.40000000000000002
40,0,0.33697724230232812,0.084166889332775205,8.7206362299953195,-1.1787686330953022,717.18298654414093,0,0.40000000000000002
41,0,0.37632440546663126,0.093760928466312857,9.7398276579035414,-0.45637893871809188,989.43108663932924,0,0.40000000000000002
42,0,0.39757731207544161,0.10107817411318551,10.039303936032814,0.035529366852397562,697.05223241481383,0,0.40000000000000002
43,0,0.44255428931968621,0.095397732740151134,11.555933188224911,-0.34592879169970214,869.02016485962849,0,0.40000000000000002
44,0,0.46315752171044433,0.11760518214665014,11.55093083911248,1.3145878249385525,607.75513953619952,0,0.40000000000000002
45,0,0.52806773454867939,0.1009830589065157,14.642126966338324,0.3230273045868336,583.91234972816198,0,0.40000000000000002
46,0,0.54611470914985627,0.13170243569907208,13.972144636477161,2.3699014766635864,999.49239478091329,0,0.40000000000000002
