step,bins,x_window,vx_mean_0,vx_mean_1,vx_mean_2,vx_mean_3,vx_mean_4,vx_mean_5,vx_mean_6,vx_mean_7,vx_mean_8,vx_mean_9,vx_mean_10,vx_mean_11
50,12,0.08,nan,nan,nan,0.001000038360108026,0.001000006051962158,nan,0.0010000106767620448,0.0010000060519449946,0.0010000383600328201,nan,nan,nan
100,12,0.08,nan,nan,nan,-0.006359159675158215,0.0007693091025544283,0.0028694031967904186,-0.0018459642380338342,0.0007664896215352884,-0.0063718958603024125,nan,nan,nan
150,12,0.08,nan,nan,nan,0.004170973335989106,0.0033783503695527157,0.0034617162738789947,nan,0.003342907921892751,0.0036295282251184425,nan,nan,nan
200,12,0.08,nan,nan,nan,0.004353867744396336,0.004330186641453067,0.004461716273879185,nan,0.004339695900145293,0.004253132375100735,nan,nan,nan
