step,t,dt,vmax,rho_min,rho_avg,rho_max,err_avg_pct,p_min,p_avg,p_max,neigh_min,neigh_avg,neigh_max
22,0.0044,0.0002,0.8394599577347984,837.0847187107473,986.3165446018174,1009.5710379606707,-1.3683455398182518,0.0,0.0,0.0,5,8.628571428571428,9
23,0.0046,0.0002,0.8394799577347984,836.3885345050612,985.6638167218103,1009.5399938903566,-1.4336183278189707,0.0,0.0,0.0,5,8.628571428571428,9
24,0.0048,0.0002,0.8394999577347985,835.6888910339154,985.0171365845666,1009.5706687052889,-1.4982863415433567,0.0,0.0,0.0,5,8.628571428571428,9
25,0.004999999999999999,0.0002,0.8395199577347985,834.9858133912537,984.3764875805588,1009.6859682986533,-1.562351241944126,0.0,0.0,0.0,5,8.628571428571428,9
26,0.005199999999999999,0.0002,0.8395399577347985,834.2793270132232,983.7418531675723,1009.8135647256316,-1.6258146832427638,0.0,0.0,0.0,5,8.628571428571428,9
27,0.0053999999999999986,0.0002,0.8395599577347985,833.5694576760783,983.1132168597546,1009.9533964189861,-1.6886783140245192,0.0,0.0,0.0,5,8.628571428571428,9
28,0.005599999999999998,0.0002,0.8395799577347985,832.8562314939024,982.4912276077157,1010.0000000080603,-1.7508772392284413,0.0,122.09269590073635,5360.0396926464355,5,8.628571428571428,9
29,0.005799999999999998,0.0002,0.8395999577347986,832.1396749161514,981.8762862768739,1009.896780818949,-1.8123713723126114,0.0,0.0,0.0,5,8.628571428571428,9
30,0.0059999999999999975,0.0002,0.8396199577347986,831.4198147250154,981.2668079144511,1009.8871947758691,-1.873319208554904,0.0,0.0,0.0,5,8.628571428571428,9
31,0.006199999999999997,0.0002,0.8396399577347986,830.6966780326067,980.6632935918369,1009.8897699130004,-1.9336706408163322,0.0,0.0,0.0,5,8.651428571428571,10
32,0.006399999999999997,0.0002,0.8396599577347986,829.970292277969,980.0657704255029,1010.0000000005886,-1.993422957449706,0.0,6.5955284403116625,368.4976739961153,5,8.651428571428571,10
33,0.0065999999999999965,0.0002,0.8396799577347986,829.2406852239172,979.4760234001926,1010.0000026254569,-2.0523976599807323,0.0,294.1354813931364,12514.853926307558,5,8.651428571428571,10
34,0.006799999999999996,0.0002,0.8396999577347987,828.5078849537026,978.8965477513971,1010.0000000254037,-2.11034522486027,0.0,243.48521001622296,10857.535957853997,5,8.651428571428571,10
35,0.006999999999999996,0.0002,0.8397199577347987,827.7719198675092,978.3241444438443,1009.7612451712658,-2.1675855556155628,0.0,0.0,0.0,5,8.651428571428571,10
36,0.0071999999999999955,0.0002,0.8397399577347987,827.032818678783,977.7566180631056,1009.8506277810952,-2.2243381936894155,0.0,0.0,0.0,5,8.697142857142858,10
37,0.007399999999999995,0.0002,0.8397599577347987,826.2906104103976,977.1951344379357,1009.952720962917,-2.2804865562064447,0.0,0.0,0.0,5,8.697142857142858,10
38,0.007599999999999995,0.0002,0.8397799577347987,825.5453243906526,976.6401746048596,1010.0000000046797,-2.3359825395140237,0.0,73.02259486115203,3415.0184341268637,5,8.697142857142858,10
39,0.0077999999999999944,0.0002,0.8397999577347988,824.7969902491168,976.0920241483726,1009.9756944046189,-2.390797585162722,0.0,0.0,0.0,5,8.72,10
40,0.007999999999999995,0.0002,0.8398199577347988,824.0456379123083,975.5495869395702,1010.0000000006452,-2.44504130604298,0.0,5.534453450297398,484.26467691826963,5,8.72,10
41,0.008199999999999995,0.0002,0.8398399577347988,823.2912975992216,975.0133764352944,1010.0000000014417,-2.498662356470577,0.0,16.508557682957257,1101.4437244311282,5,8.742857142857142,10
42,0.008399999999999996,0.0002,0.8398599577347988,822.5339998166994,974.4834828950745,1010.0000000020001,-2.5516517104925436,0.0,15.699725294944923,1373.7259804576995,5,8.742857142857142,10
43,0.008599999999999997,0.0002,0.8398799577347988,821.7737753546564,973.9597443225922,1010.0000000000912,-2.604025567740784,0.0,0.5474256527873314,47.89974462175743,5,8.742857142857142,10
44,0.008799999999999997,0.0002,0.8398999577347989,821.0106552811515,973.4421013449994,1010.0000000022422,-2.655789865500058,0.0,14.337858005813061,1254.5625755686522,5,8.742857142857142,10
45,0.008999999999999998,0.0002,0.8399199577347989,820.2446709373168,972.9307104136122,1010.0000000004216,-2.706928958638762,0.0,2.6590011899517916,232.66267501647218,5,8.742857142857142,10
46,0.009199999999999998,0.0002,0.8399399577347989,819.4758539321442,972.4256848202031,1010.0000000403109,-2.757431517979693,0.0,47.16446602511103,3560.52291890903,5,8.742857142857142,10
47,0.009399999999999999,0.0002,0.8399599577347989,818.7042361371301,971.927256488418,1009.9973248534325,-2.80727435115819,0.0,0.0,0.0,5,8.788571428571428,10
48,0.0096,0.0002,0.8399799577347989,817.9298496807854,971.4350124505372,1010.0000000203725,-2.8564987549463026,0.0,48.46272154015589,3349.5558428372065,5,8.788571428571428,10
49,0.0098,0.0002,0.839999957734799,817.1527269430096,970.9516251550199,1010.0000000440274,-2.904837484498022,0.0,370.60097513011317,16538.59560550168,5,8.788571428571428,10
50,0.01,0.0002,0.840019957734799,816.372900549334,970.4774033242173,1010.0000000000001,-2.952259667578276,0.0,9.409358505695678,1328.4094060877894,5,8.788571428571428,10
51,0.0102,0.0002,0.840039957734799,815.5904033650377,970.0072840449867,1010.0000172732314,-2.999271595501334,0.0,572.2047133906628,10064.253476600908,5,8.834285714285715,10
52,0.010400000000000001,0.0002,0.840059957734799,814.8052684891389,969.5464524105389,1010.0000052447549,-3.0453547589461043,0.0,502.2063542346712,16731.7378566403,5,8.834285714285715,10
53,0.010600000000000002,0.0002,0.840079957734799,814.0175292482613,969.0973099109334,1010.0000000058236,-3.090269008906636,0.0,41.48473817227436,3629.917936223473,5,8.834285714285715,10
54,0.010800000000000002,0.0002,0.8400999577347991,813.227219190385,968.6533011980182,1010.0000000172652,-3.134669880198188,0.0,218.38119087587802,9522.16342033989,5,8.834285714285715,10
