# scene_name=pipe_flow_1phase_2d
# step=250
# timestamp=2026-03-24T19:09:01.635558+00:00
# sim_time=0.062500000000000042
# bins=12
# y_extent_mode=walls_inner
# use_x_slice=true
# x_slice_width=0.20000000000000001
# y0_eff=0.029999999999999999
# H_eff=0.14000000000000001
# gx=0.5
# nu=0.001
# vmax_analytic=1.2250000000000001
# vmax_measured=0.032154957824608373
# L2=0.87628080654814711
# Linf=1.2087092498772622
# used_bins=12
# empty_bins=0
y_center,vx_mean,vx_count,vx_analytic
0.035833333333333328,0.019283851609856621,40,0.19565972222222211
0.047500000000000001,0.019803823924395215,20,0.53593750000000007
0.059166666666666666,0.020148738758694475,20,0.80815972222222232
0.070833333333333331,0.020278359185063894,20,1.0123263888888892
0.08249999999999999,0.020267344970958494,20,1.1484375000000002
0.094166666666666676,0.032154957824608373,31,1.2164930555555558
0.10583333333333333,0.0077838056782937063,29,1.216493055555556
0.11749999999999999,0.020267344970990048,20,1.1484375000000004
0.12916666666666668,0.020278359185104088,20,1.0123263888888892
0.14083333333333334,0.020148738758728139,20,0.80815972222222254
0.1525,0.019803823924423165,20,0.53593750000000051
0.16416666666666668,0.019283851609858887,40,0.19565972222222211
