x,y,vx,vy,rho,pressure,neighbor_count
4.500000000e-06,4.500000000e-06,0.000000000e+00,0.000000000e+00,9.980454848e+02,-1.562627268e+05,10
3.274601453e-02,4.500000000e-06,1.522859662e-01,0.000000000e+00,1.003293511e+03,1.118397375e+06,13
6.854547335e-02,4.500000000e-06,2.950706526e-01,0.000000000e+00,1.003627556e+03,1.142436127e+06,12
2.572160629e-01,2.261880556e-01,8.554141031e+00,6.962810252e+00,9.996675787e+02,9.450606951e+04,11
1.044831969e-01,4.500000000e-06,5.174459942e-01,0.000000000e+00,1.003910147e+03,1.160290280e+06,13
2.385108876e-01,1.952662147e-01,6.488078571e+00,2.516427550e+01,9.934503539e+02,-3.076090427e+05,5
1.405094497e-01,4.500000000e-06,7.273541440e-01,0.000000000e+00,1.004100412e+03,1.174254846e+06,14
1.769728372e-01,4.500000000e-06,6.566951784e-01,0.000000000e+00,1.003952826e+03,1.147853894e+06,13
2.144356441e-01,4.500000000e-06,6.214386559e-01,0.000000000e+00,1.003731295e+03,1.114608254e+06,12
2.530016234e-01,4.500000000e-06,5.328265708e-01,0.000000000e+00,1.003592868e+03,1.092026039e+06,12
2.927337047e-01,4.500000000e-06,4.998814799e-01,0.000000000e+00,1.003538718e+03,1.079614365e+06,12
3.338839040e-01,4.500000000e-06,4.978799346e-01,0.000000000e+00,1.003582245e+03,1.077941992e+06,11
3.883399504e-01,4.500000000e-06,1.409623637e-03,0.000000000e+00,1.003450302e+03,1.064735137e+06,11
4.314580474e-01,4.500000000e-06,2.423177427e-02,0.000000000e+00,1.003441348e+03,1.064003361e+06,11
5.457365382e-01,4.500000000e-06,4.050919213e-01,0.000000000e+00,1.003597026e+03,1.077124205e+06,10
9.999955000e-01,1.147278532e-01,0.000000000e+00,-3.730154222e-01,1.003625598e+03,1.079726965e+06,10
4.500000000e-06,2.242952189e-02,0.000000000e+00,1.880093221e-02,1.004685351e+03,1.538045213e+06,13
2.775487451e-01,2.249406998e-01,1.836009220e+01,2.112513167e+01,9.816669374e+02,-3.076090427e+05,13
3.282069419e-01,1.496675010e-01,1.715349047e+01,3.292706978e+00,9.935047431e+02,-2.714523810e+05,12
2.849010131e-01,6.466690452e-02,8.352156234e+00,2.931297029e+00,1.000827066e+03,2.321161966e+05,10
2.174145975e-01,1.348721871e-01,2.345351348e-01,1.580370004e+01,1.031218708e+03,3.558479943e+05,3
2.612579314e-01,6.121574372e-02,3.021119834e+00,-1.983449063e+01,9.934841155e+02,5.753155680e+05,13
2.840383459e-01,1.415707181e-01,8.644858085e+00,1.089273991e+01,9.844609191e+02,-3.076090427e+05,5
3.442527918e-01,7.582730992e-02,1.555901715e+01,2.780426329e-01,9.990570907e+02,6.855178492e+04,11
3.844830830e-01,9.254147445e-02,1.105741022e+01,1.078203051e+00,9.988059687e+02,-1.837097119e+05,12
3.934057657e-01,8.828657525e-02,1.717554564e+01,5.645217131e+00,9.995961843e+02,-2.161456665e+05,10
4.200731218e-01,1.003936667e-01,1.292451183e+01,-1.585838833e+00,9.985837863e+02,2.341012194e+04,10
4.795717175e-01,9.422188914e-02,9.504194343e+00,2.592270481e-01,9.954093123e+02,-2.025386288e+05,8
3.856230474e-01,1.094264666e-01,3.802614024e+00,1.933399104e+00,1.001674278e+03,2.336998133e+05,8
5.145664577e-01,1.564171074e-01,1.220328467e+01,-1.146129586e-01,1.002755732e+03,1.414868262e+05,9
4.793733102e-01,9.474161175e-02,1.237649349e+01,4.038092922e+00,9.955028949e+02,-1.331893844e+05,8
5.470043384e-01,1.073849303e-01,1.732046357e+01,2.815289870e+00,1.000047123e+03,-1.412694712e+05,5
4.500000000e-06,5.153024503e-02,0.000000000e+00,4.863112218e-02,1.004252645e+03,1.482343595e+06,12
9.596734602e-02,2.233988531e-01,4.118108882e+00,8.291907180e+00,8.749676711e+02,-3.076090427e+05,13
1.028547733e-01,1.935804050e-01,2.232587561e+00,-9.915363273e-01,1.541071037e+03,8.628796473e+05,10
2.785287726e-01,1.154600347e-01,9.945318649e+00,9.372511833e+00,9.897784681e+02,-3.076090427e+05,7
3.204680878e-01,1.021397903e-01,5.335394896e+00,-7.096520023e-01,9.942963515e+02,9.900451361e+04,9
2.425416045e-01,9.800115137e-02,2.465029268e+01,-4.489466725e+00,9.472833912e+02,-3.076090427e+05,10
2.716796589e-01,1.265324088e-01,1.570135468e+01,-5.601041577e+00,1.019928515e+03,1.920216573e+05,7
3.392052147e-01,7.713976555e-02,1.444749465e+01,-2.753912386e+00,9.985804921e+02,-2.471199182e+04,11
3.717599799e-01,1.245923537e-01,1.234542934e+01,-2.686330471e+00,1.000269385e+03,7.199849863e+03,9
3.558980272e-01,1.705583362e-01,9.667476159e+00,-4.483898639e+00,9.832263148e+02,-3.076090427e+05,15
4.220673640e-01,9.994188369e-02,1.111448960e+01,1.956078289e+00,1.001409492e+03,1.041492478e+05,11
4.399740463e-01,1.011534478e-01,1.644530321e+01,1.682804204e+00,1.001558406e+03,6.277901523e+04,11
4.505723635e-01,1.026443394e-01,1.132390350e+01,-1.766997588e+00,9.942908591e+02,-2.846017785e+05,11
5.144630016e-01,1.557137369e-01,1.173042487e+01,3.759043811e-01,1.000334655e+03,1.954328382e+03,9
5.792761537e-01,1.010947433e-01,2.042998746e+01,-6.879597610e+00,1.000000000e+03,0.000000000e+00,6
5.474294102e-01,9.728649460e-02,1.176134588e+01,2.755629372e+00,9.994564922e+02,-4.011801426e+04,7
1.990564454e-01,2.192727620e-01,-3.407144541e+00,-1.498681213e+00,9.976798839e+02,-1.793181849e+05,6
1.653939825e-01,6.822048219e-02,5.537009736e+00,-1.236615705e-02,9.999822810e+02,-3.076090427e+05,8
