step,t,dt,vmax,rho_min,rho_avg,rho_max,err_avg_pct,p_min,p_avg,p_max,neigh_min,neigh_avg,neigh_max
1,0.0002,0.0002,1.3172060403209507,0.0,985.039030855231,1045.4990549887966,-1.496096914476897,0.0,2873.5695429840844,71319.90329308517,0,8.63156695156695,12
2,0.0004,0.0002,12.124349451756975,312.59558478017175,999.6751583766674,1296.5489049833209,-0.03248416233327342,0.0,4835.346500409345,1333521.9363532888,3,8.75133903133903,18
3,0.0006000000000000001,0.0002,22.091112650880323,128.5814945528616,999.7189210740839,1253.7112900475847,-0.02810789259162075,0.0,4783.148806464002,1414903.9271123149,3,8.6597150997151,18
4,0.0008,0.0002,27.47055212952212,117.22920600297539,999.6878797604229,1320.320337980084,-0.03121202395770885,0.0,4633.579599897139,1339639.7738246259,3,8.63954415954416,18
5,0.001,0.0002,30.107449127166376,143.98479322402704,999.6892379834704,1322.5444082360318,-0.031076201652961693,0.0,4517.96615109443,1214254.3447432523,3,8.584273504273504,18
6,0.0012000000000000001,0.0002,34.0172855605461,223.63365686826296,999.7076752289641,1392.4378417108765,-0.02923247710359191,0.0,4467.933929201365,1323324.1930276647,3,8.57948717948718,18
7,0.0014000000000000002,0.0002,36.08941219948344,341.5882861906466,999.710292175692,1443.1555822554146,-0.028970782430821494,0.0,4495.247307450436,1364198.530613415,3,8.600683760683761,18
8,0.0016000000000000003,0.0002,36.6520348022757,414.4479929632173,999.7237450334515,1452.0165181091104,-0.02762549665486742,0.0,4580.886022213476,1383098.758600932,3,8.648547008547009,18
9,0.0018000000000000004,0.0002,36.64719394166719,459.2954380525143,999.7648699480058,1455.0262051130283,-0.023513005199445814,0.0,4712.2774330615375,1400056.4815566079,3,8.682051282051281,18
10,0.0020000000000000005,0.0002,36.76467567054663,473.92755046552554,999.8138809214809,1451.116328578835,-0.018611907851906792,0.0,4846.110860738181,1387993.81798087,3,8.707578347578348,18
11,0.0022000000000000006,0.0002,36.63219137780257,502.20992880459323,999.8511138201119,1457.3751562965815,-0.014888617988819259,0.0,4958.574502884925,1459677.3348726318,3,8.734586894586895,18
12,0.0024000000000000007,0.0002,36.64550469852745,539.8120165337713,999.8685815807443,1456.5927284096213,-0.013141841925565483,0.0,5042.485443856264,1520802.9747755432,3,8.744957264957264,18
13,0.0026000000000000007,0.0002,36.8403518444345,581.8389687253755,999.8681196311621,1449.770580397993,-0.01318803688378251,0.0,5098.969960573553,1550536.945041888,3,8.774472934472934,18
14,0.002800000000000001,0.0002,36.758806428407595,624.1282853776295,999.8567765244899,1457.2783099817345,-0.01432234755099919,0.0,5137.780629831836,1560158.25120067,3,8.797037037037038,19
15,0.003000000000000001,0.0002,36.82857766274664,639.646710984958,999.8355503955231,1453.5351049383041,-0.016444960447694237,0.0,5156.820898544498,1558758.9631310888,3,8.816866096866097,19
16,0.003200000000000001,0.0002,36.85339265212307,631.5750371465932,999.8080413448318,1451.6899288002317,-0.019195865516837808,0.0,5169.675054931691,1551945.359821784,3,8.814700854700854,19
17,0.003400000000000001,0.0002,36.757545239054515,625.8996896887913,999.7775186020394,1457.6277477897079,-0.022248139796060305,0.0,5180.0269149140395,1542687.8702927865,2,8.83954415954416,19
18,0.003600000000000001,0.0002,36.88162109886758,621.7685507265985,999.7444936474894,1454.0437605535005,-0.02555063525106033,0.0,5180.690064538391,1532591.9454758228,2,8.815726495726496,18
19,0.0038000000000000013,0.0002,36.78394637013909,618.453872235542,999.7098246473091,1455.9561732290376,-0.029017535269104937,0.0,5184.313142334853,1522595.3411677731,2,8.831794871794871,18
20,0.004000000000000001,0.0002,36.75432595248663,615.5412378795427,999.6699166070234,1457.110393518067,-0.033008339297636774,0.0,5183.122191010953,1513107.3783987795,2,8.848091168091168,18
21,0.004200000000000001,0.0002,36.899239338328925,612.530638417372,999.6237402152993,1457.7931642474487,-0.03762597847004724,0.0,5176.610755090538,1504273.554968691,2,8.864159544159545,18
22,0.0044,0.0002,36.73743126252631,609.1864432744252,999.5752372004682,1458.1872788631454,-0.04247627995318059,0.0,5173.32255985492,1496142.7439456135,2,8.891737891737892,18
23,0.0046,0.0002,36.76640216667179,605.4422592689415,999.5238970691745,1458.377065671323,-0.04761029308255412,0.0,5164.888915515906,1488659.1258899039,2,8.911908831908832,18
24,0.0048,0.0002,36.842573221643384,601.2498732037958,999.4734389018167,1458.368336864119,-0.05265610981831099,0.0,5161.9493478322875,1481676.0073054428,2,8.93925925925926,18
25,0.004999999999999999,0.0002,36.71700635645816,575.0017718559463,999.427121066214,1458.1729428776698,-0.05728789337860312,0.0,5164.497197909385,1475065.984366302,2,8.956125356125357,18
26,0.005199999999999999,0.0002,36.801123941791204,545.8568057479899,999.3827238571401,1457.8079143215023,-0.061727614285992036,0.0,5163.357916250898,1468730.173395562,2,8.9791452991453,17
27,0.0053999999999999986,0.0002,36.762128151561036,532.5859126042752,999.3414616091129,1456.9319515606862,-0.06585383908869795,0.0,5166.513205676523,1461469.9290348324,2,9.027008547008547,18
28,0.005599999999999998,0.0002,36.7122280975468,528.1521216494822,999.3028745838208,1456.7747009682712,-0.06971254161790595,0.0,5173.187285532059,1454080.2365444824,2,9.048433048433049,16
29,0.005799999999999998,0.0002,36.84823721961309,528.3159730686659,999.2650167062682,1454.8633154129207,-0.07349832937318727,0.0,5179.018355620994,1447040.6974630656,2,9.074074074074074,16
30,0.0059999999999999975,0.0002,36.709183631249886,529.9008720117516,999.229802776036,1456.7265738363142,-0.07701972239642485,0.0,5192.277660425773,1440632.4474481458,2,9.088205128205129,16
31,0.006199999999999997,0.0002,36.715193694488384,530.4330658492197,999.1940066331131,1455.4659074626736,-0.0805993366886971,0.0,5206.389852090979,1434842.5097020683,1,9.097207977207978,16
32,0.006399999999999997,0.0002,36.846932174045065,528.5855713628492,999.1572415569168,1451.9481627282094,-0.0842758443083175,0.0,5217.993859274387,1429444.5103444397,1,9.109743589743589,15
33,0.0065999999999999965,0.0002,36.693838044577,525.4002490703477,999.1206551471424,1458.1016358968993,-0.08793448528575762,0.0,5230.461440153023,1423715.80152674,1,9.135156695156695,14
