x,y,vx,vy,rho,pressure,neighbor_count
4.500000000e-06,4.500000000e-06,0.000000000e+00,0.000000000e+00,9.983719421e+02,-1.494300547e+05,10
3.091420142e-02,4.500000000e-06,3.865144837e-01,0.000000000e+00,1.002672570e+03,1.114006756e+06,13
6.481324202e-02,4.500000000e-06,5.710649853e-01,0.000000000e+00,1.003932730e+03,1.210236729e+06,13
2.039266021e-01,1.690828759e-01,1.625869492e+01,1.464616593e+01,9.904166520e+02,-3.081739461e+05,12
9.951512170e-02,4.500000000e-06,9.103901366e-01,0.000000000e+00,1.004210633e+03,1.209544344e+06,14
2.015588430e-01,1.025319255e-01,6.787490234e+00,7.750089980e+00,1.022020261e+03,4.402116067e+05,11
1.348788540e-01,4.500000000e-06,1.162399917e+00,0.000000000e+00,1.003871373e+03,1.158259580e+06,12
1.713820783e-01,4.500000000e-06,1.190077015e+00,0.000000000e+00,1.003596012e+03,1.113217674e+06,12
2.093334393e-01,4.500000000e-06,9.563103341e-01,0.000000000e+00,1.003514103e+03,1.090161619e+06,12
2.485916183e-01,4.500000000e-06,7.288689617e-01,0.000000000e+00,1.003493751e+03,1.078883328e+06,12
2.889884853e-01,4.500000000e-06,5.507673053e-01,0.000000000e+00,1.003449297e+03,1.069561836e+06,12
3.306146987e-01,4.500000000e-06,5.140975506e-01,0.000000000e+00,1.003416278e+03,1.063245315e+06,11
3.879372279e-01,4.500000000e-06,1.544272181e-01,0.000000000e+00,1.003469434e+03,1.066137521e+06,11
4.316455789e-01,4.500000000e-06,-1.168701128e-01,0.000000000e+00,1.003449424e+03,1.064477446e+06,11
5.430285010e-01,4.500000000e-06,4.151127865e-01,0.000000000e+00,1.003754140e+03,1.091743218e+06,11
9.999955000e-01,1.096097224e-01,0.000000000e+00,5.478266867e+00,1.003427036e+03,1.062151792e+06,10
4.500000000e-06,2.200199337e-02,0.000000000e+00,8.134337262e-02,1.003925409e+03,1.500308350e+06,13
1.563971111e-01,9.318799529e-02,1.456096476e+01,2.648564962e+01,7.126557587e+02,-3.081739461e+05,6
2.183028260e-01,1.377762280e-01,2.760007052e+01,8.944168358e+00,9.947520529e+02,-2.136642901e+05,12
2.362668216e-01,7.615334474e-02,1.286474844e+01,-1.072143292e+01,1.005595818e+03,9.386665148e+05,13
1.909123673e-01,6.662636264e-02,8.574333904e+00,1.288701806e+00,1.000043638e+03,2.422033879e+05,13
2.135573282e-01,9.791485728e-02,1.213482416e+01,1.656755358e+00,1.023667169e+03,-2.558112646e+05,12
2.377801938e-01,8.796785973e-02,3.521369306e+00,4.119288975e+00,9.825505689e+02,-3.081739461e+05,12
2.634050488e-01,7.844445165e-02,1.247319362e+01,-2.836357720e+00,9.958902917e+02,-1.235550699e+04,11
3.139955226e-01,8.077620501e-02,8.004853865e+00,-8.502705637e-02,9.836450671e+02,-3.081739461e+05,11
3.240532568e-01,8.154190442e-02,1.333822435e+01,3.052032362e+00,1.023723273e+03,4.643208918e+05,13
3.617111969e-01,9.336500578e-02,7.555112242e+00,2.584634249e+00,9.907457984e+02,-3.081739461e+05,12
4.040097724e-01,8.146852329e-02,1.394414211e+01,6.259293987e+00,9.989111040e+02,-2.932118389e+04,12
3.437433255e-01,1.027853953e-01,7.316073212e+00,3.874136758e+00,9.893845919e+02,-3.081739461e+05,10
4.409978004e-01,1.342969437e-01,1.392625948e+01,3.851481599e+00,9.970409074e+02,-2.157634999e+05,8
4.148932263e-01,7.378250826e-02,6.609138585e+00,3.423982243e+00,9.999321931e+02,-2.713625843e+04,10
4.776301381e-01,9.367743200e-02,9.870597593e+00,-2.738401504e-01,9.998523589e+02,1.214038134e+05,8
4.500000000e-06,5.068139558e-02,0.000000000e+00,1.179745682e-01,1.004219582e+03,1.506316192e+06,12
1.260127844e-01,1.782447156e-01,-1.232514773e+00,6.168922148e+00,9.999058604e+02,-3.081739461e+05,7
1.038294723e-01,1.736206405e-01,-4.008672055e+00,4.389172749e+00,9.997026417e+02,-1.744300471e+05,11
2.362833098e-01,1.251784708e-01,1.016408571e+01,-4.322020082e+00,9.894609756e+02,-8.320828957e+04,14
2.686693439e-01,1.221206383e-01,1.399971587e+01,-2.594036232e+00,1.013038584e+03,6.423931664e+05,11
2.061067956e-01,9.204786945e-02,2.396677596e+00,8.450721993e-01,1.042159704e+03,1.028958632e+06,11
2.372462711e-01,1.241268633e-01,2.033920393e+00,-2.587437526e-01,9.894789590e+02,-2.398973755e+05,13
2.586842608e-01,8.089226848e-02,1.337725359e+01,-3.708049577e+00,9.927843413e+02,1.648450796e+05,11
3.147993599e-01,1.184024039e-01,8.228760810e+00,3.626246083e-01,9.911048702e+02,-1.906976355e+05,10
3.079293339e-01,1.630817694e-01,1.088950194e+01,7.761656578e+00,1.000089221e+03,1.310193371e+05,14
3.553738144e-01,9.861348090e-02,1.590573517e+01,6.372918750e-01,1.015995379e+03,3.511836697e+05,11
3.811768893e-01,9.204624554e-02,1.200236152e+01,2.559705857e+00,9.987379663e+02,-7.141923721e+04,12
3.856640961e-01,1.196075188e-01,1.098679993e+01,-3.094401617e+00,1.016508837e+03,3.990050090e+05,10
4.435593229e-01,1.324852967e-01,1.532490358e+01,8.500017654e+00,9.980343458e+02,-1.196703541e+05,7
