x,y,vx,vy,rho,pressure,neighbor_count
4.500000000e-06,4.500000000e-06,0.000000000e+00,0.000000000e+00,9.981466863e+02,-1.548755813e+05,10
3.214764041e-02,4.500000000e-06,3.071002091e-01,0.000000000e+00,1.003089906e+03,1.115235823e+06,13
6.739192705e-02,4.500000000e-06,5.754505329e-01,0.000000000e+00,1.003722009e+03,1.160978660e+06,12
2.313246655e-01,2.013534114e-01,5.171084201e+00,4.091100481e+00,9.996035186e+02,-2.810775368e+05,10
1.029434183e-01,4.500000000e-06,7.171782636e-01,0.000000000e+00,1.004047709e+03,1.182008650e+06,13
2.241698769e-01,1.417956524e-01,8.990710290e+00,1.541988909e+01,9.658114254e+02,-3.229254870e+05,5
1.384274815e-01,4.500000000e-06,8.500141423e-01,0.000000000e+00,1.004077235e+03,1.176178176e+06,13
1.749857453e-01,4.500000000e-06,7.653437617e-01,0.000000000e+00,1.003824302e+03,1.133879965e+06,12
2.126586257e-01,4.500000000e-06,7.144679372e-01,0.000000000e+00,1.003613401e+03,1.102298159e+06,12
2.513849780e-01,4.500000000e-06,6.805109272e-01,0.000000000e+00,1.003501162e+03,1.083302107e+06,12
2.912430778e-01,4.500000000e-06,5.876279014e-01,0.000000000e+00,1.003463010e+03,1.072734594e+06,12
3.325081621e-01,4.500000000e-06,4.971622411e-01,0.000000000e+00,1.003500668e+03,1.070680150e+06,11
3.883064780e-01,4.500000000e-06,3.759718980e-02,0.000000000e+00,1.003452059e+03,1.064888004e+06,11
4.314118242e-01,4.500000000e-06,-4.900566146e-03,0.000000000e+00,1.003439619e+03,1.063871434e+06,11
5.446132080e-01,4.500000000e-06,4.129809542e-01,0.000000000e+00,1.003665525e+03,1.083312461e+06,11
9.999955000e-01,1.154442921e-01,0.000000000e+00,-5.833747976e-03,1.003666391e+03,1.083503245e+06,11
4.500000000e-06,2.228542972e-02,0.000000000e+00,7.833964100e-02,1.004434236e+03,1.525208786e+06,13
2.220783766e-01,1.734537649e-01,2.679672155e+01,2.262473197e+01,9.048061032e+02,-3.229254870e+05,5
2.872157829e-01,1.523795519e-01,1.299608858e+01,1.755137735e+00,9.908246114e+02,-3.229254870e+05,11
2.665060899e-01,6.503231687e-02,8.501088712e+00,7.550157618e+00,1.000181823e+03,8.122756161e+04,11
2.087225409e-01,9.260365241e-02,5.832255782e+00,2.012935217e+01,1.002784961e+03,-6.829367902e+04,8
2.380580038e-01,1.063310769e-01,7.289724340e+00,-6.215231565e+00,9.665632128e+02,-3.229254870e+05,9
2.573523985e-01,1.033364390e-01,7.506140370e+00,1.204985957e+01,1.009140842e+03,-3.229254870e+05,9
3.078704078e-01,7.786532769e-02,1.468490254e+01,5.555744451e-01,9.974167771e+02,-4.014253025e+04,11
