x,y,vx,vy,rho,pressure,neighbor_count
4.500000000e-06,4.500000000e-06,0.000000000e+00,0.000000000e+00,9.981782941e+02,-1.542902552e+05,10
3.197931304e-02,4.500000000e-06,3.513318144e-01,0.000000000e+00,1.003030540e+03,1.114034211e+06,13
6.708737004e-02,4.500000000e-06,6.034641927e-01,0.000000000e+00,1.003743411e+03,1.165795824e+06,12
2.286025524e-01,1.997237477e-01,6.408857314e+00,3.406467185e+00,1.059734181e+03,1.029289371e+06,9
1.025417728e-01,4.500000000e-06,8.716564821e-01,0.000000000e+00,1.004072244e+03,1.186130748e+06,13
2.192768822e-01,1.351209081e-01,1.141328157e+01,1.437060565e+01,9.711286833e+02,-4.037498807e+05,7
1.379778448e-01,4.500000000e-06,8.901405762e-01,0.000000000e+00,1.004064987e+03,1.174573409e+06,13
1.745822805e-01,4.500000000e-06,8.021196429e-01,0.000000000e+00,1.003797332e+03,1.130949042e+06,12
2.122744501e-01,4.500000000e-06,7.861298969e-01,0.000000000e+00,1.003588418e+03,1.100038029e+06,12
2.510223097e-01,4.500000000e-06,7.282765170e-01,0.000000000e+00,1.003485700e+03,1.081811322e+06,12
2.909333410e-01,4.500000000e-06,6.116218765e-01,0.000000000e+00,1.003450975e+03,1.071529589e+06,12
3.322485265e-01,4.500000000e-06,5.057255193e-01,0.000000000e+00,1.003486367e+03,1.069391816e+06,11
3.882837379e-01,4.500000000e-06,5.494316783e-02,0.000000000e+00,1.003453146e+03,1.064963614e+06,11
4.314172199e-01,4.500000000e-06,-2.032270121e-02,0.000000000e+00,1.003439878e+03,1.063878605e+06,11
5.443967354e-01,4.500000000e-06,4.241324580e-01,0.000000000e+00,1.003678456e+03,1.084495237e+06,11
9.999955000e-01,1.154106082e-01,0.000000000e+00,2.008163068e-01,1.003662981e+03,1.083234161e+06,11
4.500000000e-06,2.224386443e-02,0.000000000e+00,8.418029406e-02,1.004358758e+03,1.521651818e+06,13
2.097278132e-01,1.631243379e-01,2.592666258e+01,2.231044612e+01,8.860403135e+02,-4.037498807e+05,4
2.808802217e-01,1.515169781e-01,1.482995021e+01,1.835295421e+00,1.007534311e+03,-1.063331881e+05,12
2.625157277e-01,6.192139552e-02,8.686369129e+00,3.778714818e+00,9.999866463e+02,6.386306296e+05,13
2.065098619e-01,8.328312108e-02,3.310777699e+00,1.921816422e+01,1.004852728e+03,1.116916818e+05,9
2.354874404e-01,1.081063770e-01,3.824831962e+00,-2.941199356e+00,1.007533131e+03,1.890792598e+05,9
2.538200070e-01,9.864161827e-02,8.103040875e+00,6.331259509e+00,9.863058067e+02,-4.037498807e+05,11
3.010294143e-01,7.755077067e-02,1.451484436e+01,1.080809967e+00,9.979112412e+02,-9.286687980e+04,13
3.530358718e-01,7.510493822e-02,1.420629180e+01,4.742762709e+00,1.019993061e+03,8.108082477e+05,11
3.505501827e-01,8.292857077e-02,9.421092121e+00,9.390475071e-02,9.889448815e+02,-4.037498807e+05,12
3.853520636e-01,1.004379478e-01,9.761809915e+00,2.501681438e+00,9.916734123e+02,-4.037498807e+05,9
