step,t,name,p,vx,vy,vz
300,0.060000,inlet,1836.803797,-0.024000,-0.022581,0.018460
300,0.060000,outlet,2513.135230,0.010735,0.000802,0.000398
300,0.060000,mid,6656.469337,0.077843,0.031772,0.022276
310,0.062000,inlet,2979.372020,-0.107498,0.018606,0.017898
310,0.062000,outlet,2567.840108,0.010724,0.000781,0.000409
310,0.062000,mid,6691.288054,0.075781,0.031722,0.022243
320,0.064000,inlet,1416.149050,-0.029506,-0.018580,0.017660
320,0.064000,outlet,2622.085020,0.010702,0.000761,0.000417
320,0.064000,mid,6729.180032,0.073695,0.031684,0.022219
330,0.066000,inlet,3545.333247,-0.103991,0.019984,0.021015
330,0.066000,outlet,2675.849386,0.010668,0.000742,0.000421
330,0.066000,mid,6769.256958,0.071669,0.031661,0.022232
340,0.068000,inlet,3146.775125,-0.107713,0.016113,0.019696
340,0.068000,outlet,2729.095926,0.010623,0.000723,0.000424
340,0.068000,mid,6810.787706,0.069759,0.031638,0.022192
350,0.070000,inlet,3733.924362,-0.093293,0.012056,0.020013
350,0.070000,outlet,2781.781265,0.010567,0.000705,0.000424
350,0.070000,mid,6849.054491,0.067811,0.032322,0.021481
360,0.072000,inlet,2391.084582,-0.086732,0.011057,0.020472
360,0.072000,outlet,2833.855299,0.010499,0.000687,0.000422
360,0.072000,mid,6884.775787,0.065668,0.034529,0.018870
370,0.074000,inlet,3834.579033,-0.075583,-0.000055,0.018486
370,0.074000,outlet,2885.254663,0.010416,0.000669,0.000418
370,0.074000,mid,6920.630851,0.063516,0.036551,0.016202
380,0.076000,inlet,2385.865990,-0.125028,0.022238,0.021469
380,0.076000,outlet,2935.876341,0.010316,0.000654,0.000411
380,0.076000,mid,6956.144487,0.061388,0.038368,0.013821
390,0.078000,inlet,2844.059639,-0.082946,0.002026,0.019475
390,0.078000,outlet,2985.569290,0.010193,0.000642,0.000399
390,0.078000,mid,6993.317420,0.059418,0.039337,0.012351
400,0.080000,inlet,2021.024865,-0.144056,0.023345,0.020108
400,0.080000,outlet,3034.160808,0.010044,0.000634,0.000381
400,0.080000,mid,7030.492060,0.057853,0.039330,0.012018
410,0.082000,inlet,2482.978330,-0.133806,0.019866,0.022405
410,0.082000,outlet,3081.495906,0.009872,0.000630,0.000358
410,0.082000,mid,7066.660914,0.056395,0.039246,0.011976
420,0.084000,inlet,3636.251121,-0.105755,0.008720,0.021455
420,0.084000,outlet,3127.474530,0.009680,0.000629,0.000329
420,0.084000,mid,7085.180319,0.055131,0.039105,0.011989
430,0.086000,inlet,1174.767607,-0.161066,0.022998,0.022993
430,0.086000,outlet,3172.063032,0.009475,0.000631,0.000299
430,0.086000,mid,7097.237399,0.054115,0.038893,0.011977
440,0.088000,inlet,871.183353,-0.176811,0.029136,0.024110
440,0.088000,outlet,3215.279218,0.009263,0.000632,0.000269
440,0.088000,mid,7108.817322,0.053101,0.038700,0.012005
450,0.090000,inlet,2520.998141,-0.089672,-0.001814,0.020240
450,0.090000,outlet,3257.171362,0.009049,0.000634,0.000240
450,0.090000,mid,7119.932503,0.052169,0.038540,0.011988
460,0.092000,inlet,248.227150,-0.177966,0.025763,0.020195
460,0.092000,outlet,3297.801561,0.008834,0.000635,0.000214
460,0.092000,mid,7130.599404,0.051318,0.038442,0.011774
470,0.094000,inlet,0.000000,-0.193176,0.033560,0.018427
470,0.094000,outlet,3337.234969,0.008622,0.000635,0.000191
470,0.094000,mid,7140.837372,0.050537,0.038351,0.011501
480,0.096000,inlet,1171.905294,-0.186598,0.030565,0.016741
480,0.096000,outlet,3375.534102,0.008413,0.000633,0.000172
480,0.096000,mid,7152.112670,0.049816,0.038254,0.011298
490,0.098000,inlet,1342.038846,-0.157417,0.016669,0.015477
490,0.098000,outlet,3412.756505,0.008208,0.000630,0.000155
490,0.098000,mid,7173.711669,0.049272,0.038093,0.011158
500,0.100000,inlet,0.000000,-0.197320,0.031896,0.012403
500,0.100000,outlet,3448.954131,0.008007,0.000626,0.000142
500,0.100000,mid,7194.206966,0.048875,0.037878,0.011145
510,0.102000,inlet,0.000000,-0.208360,0.032562,0.011479
510,0.102000,outlet,3453.491049,0.007811,0.000620,0.000132
510,0.102000,mid,7213.644064,0.048488,0.037662,0.011240
520,0.104000,inlet,3138.636511,-0.220263,0.035309,0.010623
520,0.104000,outlet,3455.416473,0.007619,0.000614,0.000124
520,0.104000,mid,7232.152864,0.048184,0.037479,0.011330
530,0.106000,inlet,0.000000,-0.234019,0.034356,0.009729
530,0.106000,outlet,3457.274159,0.007434,0.000609,0.000122
530,0.106000,mid,7249.788384,0.047449,0.037840,0.010681
540,0.108000,inlet,2800.067992,-0.230625,0.031069,0.009429
540,0.108000,outlet,3459.078921,0.007253,0.000606,0.000125
540,0.108000,mid,7266.574620,0.046658,0.038342,0.009811
550,0.110000,inlet,0.000000,-0.236460,0.030128,0.008719
550,0.110000,outlet,3460.833121,0.007078,0.000607,0.000134
550,0.110000,mid,7282.549124,0.046026,0.038740,0.009043
560,0.112000,inlet,1034.209462,-0.220393,0.022069,0.007879
560,0.112000,outlet,3462.544659,0.006908,0.000613,0.000149
560,0.112000,mid,7297.757575,0.045517,0.039032,0.008400
570,0.114000,inlet,826.976644,-0.243260,0.023856,0.006288
570,0.114000,outlet,3464.211028,0.006742,0.000623,0.000170
570,0.114000,mid,7312.249517,0.045147,0.039217,0.007929
580,0.116000,inlet,731.651413,-0.226708,0.018364,0.006255
580,0.116000,outlet,3470.349735,0.006581,0.000637,0.000196
580,0.116000,mid,7326.148680,0.044837,0.039362,0.007560
590,0.118000,inlet,2022.978621,-0.253068,0.021626,0.004633
590,0.118000,outlet,3477.413244,0.006425,0.000656,0.000226
590,0.118000,mid,7339.624046,0.044795,0.039306,0.007475
600,0.120000,inlet,373.479215,-0.242554,0.016671,0.003636
600,0.120000,outlet,3484.361608,0.006273,0.000681,0.000259
600,0.120000,mid,7352.761360,0.044963,0.039069,0.007629
610,0.122000,inlet,0.000000,-0.260583,0.018995,0.001742
610,0.122000,outlet,3491.204241,0.006127,0.000712,0.000293
610,0.122000,mid,7361.875569,0.045115,0.038858,0.007870
620,0.124000,inlet,0.000000,-0.234581,0.010258,0.003227
620,0.124000,outlet,3497.950053,0.005985,0.000749,0.000327
620,0.124000,mid,7364.324206,0.045335,0.038631,0.008117
630,0.126000,inlet,0.000000,-0.232228,0.008842,0.001458
630,0.126000,outlet,3508.087149,0.005849,0.000791,0.000357
630,0.126000,mid,7366.672957,0.045623,0.038372,0.008326
640,0.128000,inlet,0.000000,-0.234962,0.013518,-0.002261
640,0.128000,outlet,3519.439303,0.005718,0.000835,0.000382
640,0.128000,mid,7368.926133,0.045908,0.038146,0.008539
650,0.130000,inlet,0.000000,-0.244859,0.016277,-0.005122
650,0.130000,outlet,3532.194563,0.005592,0.000881,0.000402
650,0.130000,mid,7371.086664,0.046229,0.037925,0.008758
660,0.132000,inlet,0.000000,-0.227249,0.010945,-0.005443
660,0.132000,outlet,3547.675315,0.005471,0.000928,0.000415
660,0.132000,mid,7373.158065,0.046596,0.037695,0.008978
670,0.134000,inlet,913.749845,-0.225901,0.009248,-0.006508
670,0.134000,outlet,3562.966144,0.005355,0.000974,0.000422
670,0.134000,mid,7375.143507,0.046985,0.037479,0.009183
680,0.136000,inlet,0.000000,-0.233867,0.009302,-0.008568
680,0.136000,outlet,3579.072971,0.005244,0.001019,0.000423
680,0.136000,mid,7377.046094,0.047421,0.037252,0.009380
690,0.138000,inlet,3249.823109,-0.163461,-0.010634,-0.002336
690,0.138000,outlet,3597.954118,0.005139,0.001065,0.000418
690,0.138000,mid,7378.869842,0.047858,0.037056,0.009605
700,0.140000,inlet,2387.275933,-0.132822,-0.020142,0.000043
700,0.140000,outlet,3616.610828,0.005038,0.001109,0.000409
700,0.140000,mid,7380.621659,0.048327,0.036855,0.009840
710,0.142000,inlet,0.000000,-0.160433,-0.015850,-0.003485
710,0.142000,outlet,3635.053892,0.004942,0.001151,0.000398
710,0.142000,mid,7382.305270,0.048829,0.036631,0.010083
720,0.144000,inlet,0.000000,-0.166034,-0.014850,-0.008600
720,0.144000,outlet,3653.295369,0.004850,0.001187,0.000387
720,0.144000,mid,7383.922954,0.049335,0.036419,0.010348
730,0.146000,inlet,422.691460,-0.166022,-0.016671,-0.009475
730,0.146000,outlet,3671.345776,0.004763,0.001217,0.000379
730,0.146000,mid,7385.477413,0.049963,0.036301,0.011313
740,0.148000,inlet,781.784366,-0.139376,-0.024809,-0.006532
740,0.148000,outlet,3689.212772,0.004679,0.001239,0.000376
740,0.148000,mid,7386.962144,0.050422,0.035988,0.010970
750,0.150000,inlet,0.000000,-0.092264,-0.037373,0.000046
750,0.150000,outlet,3706.978793,0.004602,0.001251,0.000382
750,0.150000,mid,7388.373610,0.050987,0.035755,0.011224
760,0.152000,inlet,0.000000,-0.136014,-0.028366,-0.007490
760,0.152000,outlet,3724.724351,0.004531,0.001252,0.000400
760,0.152000,mid,7389.710970,0.051578,0.035511,0.011532
770,0.154000,inlet,0.000000,-0.124579,-0.033217,-0.006333
770,0.154000,outlet,3742.514679,0.004468,0.001242,0.000432
770,0.154000,mid,7384.169171,0.051897,0.033586,0.013992
780,0.156000,inlet,4749.233638,-0.107614,-0.035435,-0.004467
780,0.156000,outlet,3760.398690,0.004412,0.001219,0.000478
780,0.156000,mid,7375.917850,0.051826,0.027108,0.021881
790,0.158000,inlet,0.000000,-0.095369,-0.040310,-0.002280
790,0.158000,outlet,3778.383880,0.004360,0.001185,0.000541
790,0.158000,mid,7370.952131,0.051844,0.021193,0.028930
800,0.160000,inlet,0.000000,-0.122918,-0.035780,-0.006878
800,0.160000,outlet,3796.404786,0.004306,0.001137,0.000622
800,0.160000,mid,7372.715204,0.052273,0.019157,0.031423
810,0.162000,inlet,6517.750625,-0.055087,-0.049999,0.001593
810,0.162000,outlet,3814.370399,0.004246,0.001076,0.000723
810,0.162000,mid,7374.383334,0.052754,0.018858,0.031836
820,0.164000,inlet,0.000000,-0.106418,-0.039569,-0.004904
820,0.164000,outlet,3832.231141,0.004178,0.001001,0.000843
820,0.164000,mid,7375.972626,0.053223,0.018785,0.030941
830,0.166000,inlet,3980.481675,-0.056387,-0.051296,0.001127
830,0.166000,outlet,3849.986637,0.004106,0.000917,0.000977
830,0.166000,mid,7377.491841,0.053708,0.018716,0.027914
840,0.168000,inlet,0.000000,-0.085555,-0.042669,-0.002798
840,0.168000,outlet,3867.596225,0.004029,0.000826,0.001117
840,0.168000,mid,7378.954895,0.054240,0.018675,0.027325
850,0.170000,inlet,5745.070741,-0.043767,-0.054246,0.002353
850,0.170000,outlet,3884.924290,0.003945,0.000731,0.001250
850,0.170000,mid,7380.367330,0.054780,0.018706,0.027334
860,0.172000,inlet,2712.373416,-0.085409,-0.044285,-0.002020
860,0.172000,outlet,3901.875742,0.003852,0.000638,0.001369
860,0.172000,mid,7353.373260,0.054791,0.017296,0.026284
870,0.174000,inlet,1874.270599,-0.039931,-0.055416,0.002391
870,0.174000,outlet,3918.451058,0.003755,0.000548,0.001476
870,0.174000,mid,7307.456668,0.053462,0.012028,0.022231
880,0.176000,inlet,0.000000,-0.083220,-0.046561,-0.001971
880,0.176000,outlet,3934.681154,0.003657,0.000465,0.001573
880,0.176000,mid,7268.880639,0.052128,0.006831,0.018159
890,0.178000,inlet,0.000000,-0.056138,-0.051106,0.001449
890,0.178000,outlet,3950.561244,0.003560,0.000388,0.001661
890,0.178000,mid,7250.919051,0.051165,0.002813,0.014921
900,0.180000,inlet,0.000000,-0.074294,-0.047809,-0.000433
900,0.180000,outlet,3966.063991,0.003461,0.000318,0.001739
900,0.180000,mid,7254.855895,0.051456,0.002340,0.014399
910,0.182000,inlet,2238.304286,-0.049690,-0.052311,0.001166
910,0.182000,outlet,3981.172390,0.003361,0.000252,0.001803
910,0.182000,mid,7258.758626,0.051935,0.002564,0.014388
920,0.184000,inlet,0.000000,-0.061049,-0.049240,0.001053
920,0.184000,outlet,3995.903850,0.003263,0.000191,0.001855
920,0.184000,mid,7262.620327,0.052464,0.002888,0.014449
930,0.186000,inlet,2315.076655,-0.038743,-0.053581,0.002073
930,0.186000,outlet,4010.304944,0.003168,0.000134,0.001897
930,0.186000,mid,7266.441600,0.053027,0.003246,0.014521
940,0.188000,inlet,0.000000,-0.059678,-0.049524,-0.000838
940,0.188000,outlet,4024.434239,0.003080,0.000082,0.001929
940,0.188000,mid,7270.222014,0.053617,0.003614,0.014589
950,0.190000,inlet,2296.257613,-0.016587,-0.058523,0.000621
950,0.190000,outlet,4038.350285,0.003000,0.000035,0.001955
950,0.190000,mid,7273.961085,0.054238,0.003989,0.014651
960,0.192000,inlet,3195.444487,-0.025496,-0.057768,0.000376
960,0.192000,outlet,4052.105954,0.002928,-0.000006,0.001974
960,0.192000,mid,7277.657618,0.054865,0.004377,0.014696
970,0.194000,inlet,3110.382075,-0.009294,-0.058551,0.000418
970,0.194000,outlet,4065.746607,0.002866,-0.000042,0.001990
970,0.194000,mid,7281.310660,0.055529,0.004757,0.014736
980,0.196000,inlet,4602.798334,-0.007478,-0.060335,-0.000280
980,0.196000,outlet,4079.310088,0.002812,-0.000074,0.002001
980,0.196000,mid,7284.919224,0.056203,0.005138,0.014764
990,0.198000,inlet,6124.908449,-0.003927,-0.059150,-0.000495
990,0.198000,outlet,4092.827541,0.002766,-0.000101,0.002010
990,0.198000,mid,7288.491761,0.056930,0.005475,0.014738
1000,0.200000,inlet,6087.306067,-0.000123,-0.059892,-0.002102
1000,0.200000,outlet,4106.324862,0.002727,-0.000124,0.002016
1000,0.200000,mid,7292.026198,0.057712,0.005794,0.014770
1010,0.202000,inlet,1930.585180,-0.005108,-0.057505,-0.002302
1010,0.202000,outlet,4119.825897,0.002696,-0.000143,0.002021
1010,0.202000,mid,7295.508240,0.058469,0.006125,0.014801
1020,0.204000,inlet,2021.208389,-0.004466,-0.057536,-0.002246
1020,0.204000,outlet,4133.352709,0.002671,-0.000159,0.002023
1020,0.204000,mid,7298.938095,0.059226,0.006454,0.014804
1030,0.206000,inlet,1612.477203,-0.005573,-0.057489,-0.002464
1030,0.206000,outlet,4146.922813,0.002652,-0.000172,0.002023
1030,0.206000,mid,7302.316220,0.059997,0.006803,0.014773
1040,0.208000,inlet,2145.110815,-0.006241,-0.056394,-0.003206
1040,0.208000,outlet,4160.548978,0.002638,-0.000183,0.002023
1040,0.208000,mid,7305.641729,0.060794,0.007140,0.014740
1050,0.210000,inlet,5793.749846,-0.006628,-0.056377,-0.003979
1050,0.210000,outlet,4174.240659,0.002629,-0.000191,0.002021
1050,0.210000,mid,7308.913418,0.061602,0.007480,0.014698
1060,0.212000,inlet,6859.835178,-0.005067,-0.054964,-0.004206
1060,0.212000,outlet,4188.005360,0.002624,-0.000197,0.002019
1060,0.212000,mid,7312.130197,0.062426,0.007804,0.014644
1070,0.214000,inlet,3404.997908,0.000033,-0.056081,-0.004885
1070,0.214000,outlet,4201.849487,0.002622,-0.000202,0.002015
1070,0.214000,mid,7316.230000,0.063260,0.008116,0.014574
1080,0.216000,inlet,0.000000,-0.010023,-0.053607,-0.003961
1080,0.216000,outlet,4215.780599,0.002624,-0.000205,0.002011
1080,0.216000,mid,7321.258587,0.064123,0.008402,0.014458
1090,0.218000,inlet,0.000000,-0.014497,-0.053793,-0.003897
1090,0.218000,outlet,4229.815465,0.002628,-0.000206,0.002008
1090,0.218000,mid,7326.237097,0.065029,0.008681,0.014322
1100,0.220000,inlet,5890.327249,-0.004482,-0.053029,-0.004630
1100,0.220000,outlet,4243.975610,0.002636,-0.000204,0.002006
1100,0.220000,mid,7331.167798,0.065912,0.008924,0.014161
1110,0.222000,inlet,3898.766737,0.000524,-0.053277,-0.005077
1110,0.222000,outlet,4258.276267,0.002646,-0.000199,0.002005
1110,0.222000,mid,7336.051917,0.066824,0.009166,0.014002
