id,is_boundary,x,y,vx,vy,rho,p,m
0,0,0.050000000000000003,0.03868731514597773,0,-0.088116552112417826,1020,25004.681136676067,0.39965556373580352
1,0,0.050000000000000003,0.043492482134510187,0,-0.12688960135557459,1020,25004.681136676067,0.39965556373580352
2,0,0.050000000000000003,0.047673857943911692,0,-0.16835420094145476,1020,25004.681136676067,0.39965556373580352
3,0,0.050000000000000003,0.052309971926794076,0,-0.22661448857772665,1020,25004.681136676067,0.39965556373580352
4,0,0.050000000000000003,0.057683033486183088,0,-0.3173707218281408,1020,25004.681136676067,0.39965556373580352
5,0,0.050000000000000003,0.064430047553834344,0,-0.48169282303355992,1020,25004.681136676067,0.39965556373580352
6,0,0.050000000000000003,0.074203436944910051,0,-0.82927820176786593,1020,25004.681136676067,0.39965556373580352
7,0,0.050000000000000003,0.089406639159072723,0,-1.2505833693953774,1020,25004.681136676067,0.39965556373580352
8,0,0.050000000000000003,0.10839309592708143,0,-1.3891006948988416,870.24223604841541,0,0.39965556373580352
9,0,0.050000000000000003,0.12824412874319663,0,-1.4087651859136372,850,0,0.39965556373580352
10,0,0.050000000000000003,0.14822141578061027,0,-1.4115401851702347,850,0,0.39965556373580352
11,0,0.050000000000000003,0.16821781944250605,0,-1.4119492521167338,850,0,0.39965556373580352
12,0,0.050000000000000003,0.18821724168454843,0,-1.4120118032671904,850,0,0.39965556373580352
13,0,0.050000000000000003,0.20821719839003544,0,-1.4120186053847739,850,0,0.39965556373580352
14,0,0.050000000000000003,0.22821741923297281,0,-1.4120071067981002,850,0,0.39965556373580352
15,0,0.050000000000000003,0.24821836654757423,0,-1.4119609275705287,850,0,0.39965556373580352
16,0,0.050000000000000003,0.26822189463675489,0,-1.4118117076974208,850,0,0.39965556373580352
17,0,0.050000000000000003,0.28823399085400692,0,-1.4113780931552433,850,0,0.39965556373580352
18,0,0.050000000000000003,0.30827205428285714,0,-1.4102510897993903,850,0,0.39965556373580352
19,0,0.050000000000000003,0.32838147410518786,0,-1.4076587003978267,850,0,0.39965556373580352
20,0,0.050000000000000003,0.34866826974716325,0,-1.4024267228286404,850,0,0.39965556373580352
21,0,0.050000000000000003,0.36935661980809775,0,-1.393192338343745,850,0,0.39965556373580352
22,0,0.050000000000000003,0.39089535471204856,0,-1.37884728061702,850,0,0.39965556373580352
23,0,0.050000000000000003,0.41426914118943459,0,-1.3584347132454797,850,0,0.39965556373580352
24,0,0.050000000000000003,0.44494832084805247,0,-1.292695154321059,850,0,0.39965556373580352
25,0,0.070000000000000007,0.038089305229725326,0,-0.093146403746683815,1020,25004.681136676067,0.39965556373580352
26,0,0.070000000000000007,0.043224973927238008,0,-0.13288167875197823,1020,25004.681136676067,0.39965556373580352
27,0,0.070000000000000007,0.047707400667636166,0,-0.1755569507502765,1020,25004.681136676067,0.39965556373580352
28,0,0.070000000000000007,0.052586048197739842,0,-0.23504672279717095,1020,25004.681136676067,0.39965556373580352
29,0,0.070000000000000007,0.058172379972717493,0,-0.32621618733178726,1020,25004.681136676067,0.39965556373580352
30,0,0.070000000000000007,0.065095968268129509,0,-0.48569908488390479,1020,25004.681136676067,0.39965556373580352
31,0,0.070000000000000007,0.074828867780806996,0,-0.80627986291349441,1020,25004.681136676067,0.39965556373580352
32,0,0.070000000000000007,0.08963430763302116,0,-1.2233449194196424,1020,25004.681136676067,0.39965556373580352
33,0,0.070000000000000007,0.10842403982684795,0,-1.383836094666405,1020,25004.681136676067,0.39965556373580352
34,0,0.070000000000000007,0.12824724115874439,0,-1.4082816541030585,1005.1282572902803,6130.6600286592911,0.39965556373580352
35,0,0.070000000000000007,0.14822179309100955,0,-1.4114892101700443,1000.7383052256541,871.06033829947421,0.39965556373580352
36,0,0.070000000000000007,0.16821787165696983,0,-1.4119428878426226,1000.1142025959452,134.48536466454723,0.39965556373580352
37,0,0.070000000000000007,0.18821725011259446,0,-1.4120108790668369,1000.0168174169355,19.798462071030901,0.39965556373580352
38,0,0.070000000000000007,0.20821720249638553,0,-1.412018305704231,999.99542924268849,0,0.39965556373580352
39,0,0.070000000000000007,0.22821743153557905,0,-1.412006465457105,999.96948289579586,0,0.39965556373580352
40,0,0.070000000000000007,0.2482184143168788,0,-1.4119587818894632,999.88308729064443,0,0.39965556373580352
41,0,0.070000000000000007,0.26822207181434432,0,-1.4118048488321022,999.59177425340931,0,0.39965556373580352
42,0,0.070000000000000007,0.2882346128157019,0,-1.4113576324648973,998.6887798271232,0,0.39965556373580352
43,0,0.070000000000000007,0.30827413158228545,0,-1.4101941032230363,996.14486700104453,0,0.39965556373580352
44,0,0.070000000000000007,0.32838809106529715,0,-1.407511798751037,989.6782892700619,0,0.39965556373580352
45,0,0.070000000000000007,0.34868820187944549,0,-1.4020865772110453,974.93258685929186,0,0.39965556373580352
46,0,0.070000000000000007,0.36941188007243969,0,-1.39252806110523,944.87954801851674,0,0.39965556373580352
47,0,0.070000000000000007,0.39102648595183037,0,-1.3779373273066418,889.8561803023124,0,0.39965556373580352
48,0,0.070000000000000007,0.41446302770631516,0,-1.3577905122013723,850,0,0.39965556373580352
