# scene_name=pipe_flow_1phase_periodic_2d
# step=1500
# timestamp=2026-03-23T17:58:25.383402+00:00
# sim_time=0.0050532570591953216
# bins=12
# y_extent_mode=walls_inner
# use_x_slice=false
# x_slice_width=none
# y0_eff=0.029999999999999999
# H_eff=0.14000000000000001
# gx=0.10000000000000001
# nu=0.001
# vmax_analytic=0.24500000000000005
# vmax_measured=0.0053374731376442421
# L2=0.17820147552705887
# Linf=0.24518459196352066
# used_bins=12
# empty_bins=0
y_center,vx_mean,vx_count,vx_analytic
0.035833333333333328,0.00047740395824342178,394,0.039131944444444421
0.047500000000000001,0.0004850772047517217,205,0.10718750000000002
0.059166666666666666,0.00049254323032713,203,0.16163194444444445
0.070833333333333331,0.00049664955539890942,207,0.20246527777777779
0.08249999999999999,0.0004991763905586484,205,0.22968750000000002
0.094166666666666676,0.0053374731376442421,194,0.24329861111111117
0.10583333333333333,-0.0018859808524094826,393,0.24329861111111117
0.11749999999999999,0.00049917639056973979,205,0.22968750000000007
0.12916666666666668,0.00049664955539671261,207,0.20246527777777779
0.14083333333333334,0.00049254323032600991,203,0.16163194444444448
0.1525,0.00048507720475310812,205,0.1071875000000001
0.16416666666666668,0.00047740395824414316,394,0.039131944444444421
